,squadra_casa,squadra_trasferta,giornata,goal_casa,goal_trasferta,anno
74,Lecce,Cremonese,8,1,1,2022
75,Sampdoria,Monza,8,0,3,2022
76,Sassuolo,Salernitana,8,5,0,2022
77,Atalanta,Fiorentina,8,1,0,2022
78,Juventus,Bologna,8,3,0,2022
79,Verona,Udinese,8,1,2,2022
80,Sassuolo,Inter,9,1,2,2022
81,Milan,Juventus,9,2,0,2022
82,Bologna,Sampdoria,9,1,1,2022
83,Torino,Empoli,9,1,1,2022
84,Monza,Spezia,9,2,0,2022
85,Salernitana,Verona,9,2,1,2022
86,Udinese,Atalanta,9,2,2,2022
87,Cremonese,Napoli,9,1,4,2022
88,Roma,Lecce,9,2,1,2022
89,Fiorentina,Lazio,9,0,4,2022
90,Empoli,Monza,10,1,0,2022
91,Torino,Juventus,10,0,1,2022
92,Atalanta,Sassuolo,10,2,1,2022
93,Inter,Salernitana,10,2,0,2022
94,Lazio,Udinese,10,0,0,2022
95,Spezia,Cremonese,10,2,2,2022
96,Napoli,Bologna,10,3,2,2022
97,Verona,Milan,10,1,2,2022
98,Sampdoria,Roma,10,0,1,2022
99,Lecce,Fiorentina,10,1,1,2022
100,Juventus,Empoli,11,4,0,2022
101,Salernitana,Spezia,11,1,0,2022
102,Milan,Monza,11,4,1,2022
103,Fiorentina,Inter,11,3,4,2022
104,Udinese,Torino,11,1,2,2022
105,Bologna,Lecce,11,2,0,2022
106,Atalanta,Lazio,11,0,2,2022
107,Roma,Napoli,11,0,1,2022
108,Cremonese,Sampdoria,11,0,1,2022
109,Sassuolo,Verona,11,2,1,2022
110,Napoli,Sassuolo,12,4,0,2022
111,Lecce,Juventus,12,0,1,2022
112,Inter,Sampdoria,12,3,0,2022
113,Empoli,Atalanta,12,0,2,2022
114,Cremonese,Udinese,12,0,0,2022
115,Spezia,Fiorentina,12,1,2,2022
116,Lazio,Salernitana,12,1,3,2022
117,Torino,Milan,12,2,1,2022
118,Verona,Roma,12,1,3,2022
119,Monza,Bologna,12,1,2,2022
120,Udinese,Lecce,13,1,1,2022
121,Empoli,Sassuolo,13,1,0,2022
122,Salernitana,Cremonese,13,2,2,2022
123,Atalanta,Napoli,13,1,2,2022
124,Milan,Spezia,13,2,1,2022
125,Bologna,Torino,13,2,1,2022
126,Sampdoria,Fiorentina,13,0,2,2022
127,Monza,Verona,13,2,0,2022
128,Roma,Lazio,13,0,1,2022
129,Juventus,Inter,13,2,0,2022
130,Napoli,Empoli,14,2,0,2022
131,Spezia,Udinese,14,1,1,2022
132,Cremonese,Milan,14,0,0,2022
133,Lecce,Atalanta,14,2,1,2022
134,Sassuolo,Roma,14,1,1,2022
135,Fiorentina,Salernitana,14,2,1,2022
136,Inter,Bologna,14,6,1,2022
137,Torino,Sampdoria,14,2,0,2022
138,Verona,Juventus,14,0,1,2022
139,Lazio,Monza,14,1,0,2022
140,Empoli,Cremonese,15,2,0,2022
141,Napoli,Udinese,15,3,2,2022
142,Sampdoria,Lecce,15,0,2,2022
143,Bologna,Sassuolo,15,3,0,2022
144,Atalanta,Inter,15,2,3,2022
145,Verona,Spezia,15,1,2,2022
146,Monza,Salernitana,15,3,0,2022
147,Roma,Torino,15,1,1,2022
148,Milan,Fiorentina,15,2,1,2022
149,Juventus,Lazio,15,3,0,2022
150,Salernitana,Milan,16,1,2,2022
151,Sassuolo,Sampdoria,16,1,2,2022
152,Spezia,Atalanta,16,2,2,2022
153,Torino,Verona,16,1,1,2022
154,Roma,Bologna,16,1,0,2022
155,Lecce,Lazio,16,2,1,2022
156,Cremonese,Juventus,16,0,1,2022
157,Fiorentina,Monza,16,1,1,2022
158,Inter,Napoli,16,1,0,2022
159,Udinese,Empoli,16,1,1,2022
160,Fiorentina,Sassuolo,17,2,1,2022
161,Juventus,Udinese,17,1,0,2022
162,Monza,Inter,17,2,2,2022
163,Salernitana,Torino,17,1,1,2022
164,Lazio,Empoli,17,2,2,2022
165,Spezia,Lecce,17,0,0,2022
166,Sampdoria,Napoli,17,0,2,2022
167,Milan,Roma,17,2,2,2022
168,Verona,Cremonese,17,2,0,2022
169,Bologna,Atalanta,17,1,2,2022
170,Napoli,Juventus,18,5,1,2022
171,Cremonese,Monza,18,2,3,2022
172,Lecce,Milan,18,2,2,2022
173,Inter,Verona,18,1,0,2022
174,Sassuolo,Lazio,18,0,2,2022
175,Torino,Spezia,18,0,1,2022
176,Udinese,Bologna,18,1,2,2022
177,Atalanta,Salernitana,18,8,2,2022
178,Roma,Fiorentina,18,2,0,2022
179,Empoli,Sampdoria,18,1,0,2022
180,Verona,Lecce,19,2,0,2022
181,Salernitana,Napoli,19,0,2,2022
182,Fiorentina,Torino,19,0,1,2022
183,Sampdoria,Udinese,19,0,1,2022
184,Monza,Sassuolo,19,1,1,2022
185,Spezia,Roma,19,0,2,2022
186,Juventus,Atalanta,19,3,3,2022
187,Bologna,Cremonese,19,1,1,2022
188,Inter,Empoli,19,0,1,2022
189,Lazio,Milan,19,4,0,2022
190,Bologna,Spezia,20,2,0,2022
191,Lecce,Salernitana,20,1,2,2022
192,Empoli,Torino,20,2,2,2022
193,Cremonese,Inter,20,1,2,2022
194,Atalanta,Sampdoria,20,2,0,2022
195,Milan,Sassuolo,20,2,5,2022
196,Juventus,Monza,20,0,2,2022
197,Lazio,Fiorentina,20,1,1,2022
198,Napoli,Roma,20,2,1,2022
199,Udinese,Verona,20,1,1,2022
200,Cremonese,Lecce,21,0,2,2022
201,Roma,Empoli,21,2,0,2022
202,Sassuolo,Atalanta,21,1,0,2022
203,Spezia,Napoli,21,0,3,2022
204,Torino,Udinese,21,1,0,2022
205,Fiorentina,Bologna,21,1,2,2022
206,Inter,Milan,21,1,0,2022
207,Verona,Lazio,21,1,1,2022
208,Monza,Sampdoria,21,2,2,2022
209,Salernitana,Juventus,21,0,3,2022
210,Milan,Torino,22,1,0,2022
211,Empoli,Spezia,22,2,2,2022
212,Lecce,Roma,22,1,1,2022
213,Lazio,Atalanta,22,0,2,2022
214,Udinese,Sassuolo,22,2,2,2022
215,Bologna,Monza,22,0,1,2022
216,Juventus,Fiorentina,22,1,0,2022
217,Napoli,Cremonese,22,3,0,2022
218,Verona,Salernitana,22,1,0,2022
219,Sampdoria,Inter,22,0,0,2022
220,Sassuolo,Napoli,23,0,2,2022
221,Sampdoria,Bologna,23,1,2,2022
222,Monza,Milan,23,0,1,2022
223,Inter,Udinese,23,3,1,2022
224,Atalanta,Lecce,23,1,2,2022
225,Fiorentina,Empoli,23,1,1,2022
226,Salernitana,Lazio,23,0,2,2022
227,Spezia,Juventus,23,0,2,2022
228,Roma,Verona,23,1,0,2022
229,Torino,Cremonese,23,2,2,2022
230,Empoli,Napoli,24,0,2,2022
231,Lecce,Sassuolo,24,0,1,2022
232,Bologna,Inter,24,1,0,2022
233,Salernitana,Monza,24,3,0,2022
234,Udinese,Spezia,24,2,2,2022
235,Milan,Atalanta,24,2,0,2022
236,Verona,Fiorentina,24,0,3,2022
237,Lazio,Sampdoria,24,1,0,2022
238,Cremonese,Roma,24,2,1,2022
239,Juventus,Torino,24,4,2,2022
240,Napoli,Lazio,25,0,1,2022
241,Monza,Empoli,25,2,1,2022
242,Atalanta,Udinese,25,0,0,2022
243,Fiorentina,Milan,25,2,1,2022
244,Spezia,Verona,25,0,0,2022
245,Sampdoria,Salernitana,25,0,0,2022
246,Inter,Lecce,25,2,0,2022
247,Roma,Juventus,25,1,0,2022
248,Sassuolo,Cremonese,25,3,2,2022
249,Torino,Bologna,25,1,0,2022
250,Spezia,Inter,26,2,1,2022
251,Empoli,Udinese,26,0,1,2022
252,Napoli,Atalanta,26,2,0,2022
253,Bologna,Lazio,26,0,0,2022
254,Lecce,Torino,26,0,2,2022
255,Cremonese,Fiorentina,26,0,2,2022
256,Verona,Monza,26,1,1,2022
257,Roma,Sassuolo,26,3,4,2022
258,Juventus,Sampdoria,26,4,2,2022
259,Milan,Salernitana,26,1,1,2022
260,Sassuolo,Spezia,27,1,0,2022
261,Atalanta,Empoli,27,2,1,2022
262,Monza,Cremonese,27,1,1,2022
263,Salernitana,Bologna,27,2,2,2022
264,Udinese,Milan,27,3,1,2022
265,Sampdoria,Verona,27,3,1,2022
266,Fiorentina,Lecce,27,1,0,2022
267,Torino,Napoli,27,0,4,2022
268,Lazio,Roma,27,1,0,2022
269,Inter,Juventus,27,0,1,2022
270,Cremonese,Atalanta,28,1,3,2022
271,Inter,Fiorentina,28,0,1,2022
272,Juventus,Verona,28,1,0,2022
273,Bologna,Udinese,28,3,0,2022
274,Monza,Lazio,28,0,2,2022
275,Spezia,Salernitana,28,1,1,2022
276,Roma,Sampdoria,28,3,0,2022
277,Napoli,Milan,28,0,4,2022
278,Empoli,Lecce,28,1,0,2022
279,Sassuolo,Torino,28,1,1,2022
280,Salernitana,Inter,29,1,1,2022
281,Lecce,Napoli,29,1,2,2022
282,Milan,Empoli,29,0,0,2022
283,Udinese,Monza,29,2,2,2022
284,Fiorentina,Spezia,29,1,1,2022
285,Atalanta,Bologna,29,0,2,2022
286,Sampdoria,Cremonese,29,2,3,2022
287,Verona,Sassuolo,29,2,1,2022
288,Torino,Roma,29,0,1,2022
289,Lazio,Juventus,29,2,1,2022
290,Cremonese,Empoli,30,1,0,2022
291,Spezia,Lazio,30,0,3,2022
292,Bologna,Milan,30,1,1,2022
293,Napoli,Verona,30,0,0,2022
294,Inter,Monza,30,0,1,2022
295,Lecce,Sampdoria,30,1,1,2022
296,Torino,Salernitana,30,1,1,2022
297,Sassuolo,Juventus,30,1,0,2022
298,Roma,Udinese,30,3,0,2022
299,Fiorentina,Atalanta,30,1,1,2022
300,Verona,Bologna,31,2,1,2022
301,Salernitana,Sassuolo,31,3,0,2022
302,Lazio,Torino,31,0,1,2022
303,Sampdoria,Spezia,31,1,1,2022
304,Empoli,Inter,31,0,3,2022
305,Udinese,Cremonese,31,3,0,2022
306,Monza,Fiorentina,31,3,2,2022
307,Milan,Lecce,31,2,0,2022
308,Juventus,Napoli,31,0,1,2022
309,Atalanta,Roma,31,3,1,2022
310,Lecce,Udinese,32,1,0,2022
311,Spezia,Monza,32,0,2,2022
312,Roma,Milan,32,1,1,2022
313,Torino,Atalanta,32,1,2,2022
314,Inter,Lazio,32,3,1,2022
315,Cremonese,Verona,32,1,1,2022
316,Napoli,Salernitana,32,1,1,2022
317,Sassuolo,Empoli,32,2,1,2022
318,Fiorentina,Sampdoria,32,5,0,2022
319,Bologna,Juventus,32,1,1,2022
320,Atalanta,Spezia,33,3,2,2022
321,Juventus,Lecce,33,2,1,2022
322,Sampdoria,Torino,33,0,2,2022
323,Salernitana,Fiorentina,33,3,3,2022
324,Verona,Inter,33,0,6,2022
325,Lazio,Sassuolo,33,2,0,2022
326,Monza,Roma,33,1,1,2022
327,Milan,Cremonese,33,1,1,2022
328,Empoli,Bologna,33,3,1,2022
329,Udinese,Napoli,33,1,1,2022
330,Milan,Lazio,34,2,0,2022
331,Roma,Inter,34,0,2,2022
332,Cremonese,Spezia,34,2,0,2022
333,Atalanta,Juventus,34,0,2,2022
334,Torino,Monza,34,1,1,2022
335,Napoli,Fiorentina,34,1,0,2022
336,Lecce,Verona,34,0,1,2022
337,Empoli,Salernitana,34,2,1,2022
338,Udinese,Sampdoria,34,2,0,2022
339,Sassuolo,Bologna,34,1,1,2022
340,Lazio,Lecce,35,2,2,2022
341,Salernitana,Atalanta,35,1,0,2022
342,Spezia,Milan,35,2,0,2022
343,Inter,Sassuolo,35,4,2,2022
344,Verona,Torino,35,0,1,2022
345,Fiorentina,Udinese,35,2,0,2022
346,Monza,Napoli,35,2,0,2022
347,Bologna,Roma,35,0,0,2022
348,Juventus,Cremonese,35,2,0,2022
349,Sampdoria,Empoli,35,1,1,2022
350,Sassuolo,Monza,36,1,2,2022
351,Cremonese,Bologna,36,1,5,2022
352,Atalanta,Verona,36,3,1,2022
353,Milan,Sampdoria,36,5,1,2022
354,Lecce,Spezia,36,0,0,2022
355,Torino,Fiorentina,36,1,1,2022
356,Napoli,Inter,36,3,1,2022
357,Udinese,Lazio,36,0,1,2022
358,Roma,Salernitana,36,2,2,2022
359,Empoli,Juventus,36,4,1,2022
360,Sampdoria,Sassuolo,37,2,2,2022
361,Salernitana,Udinese,37,3,2,2022
362,Spezia,Torino,37,0,4,2022
363,Fiorentina,Roma,37,2,1,2022
364,Inter,Atalanta,37,3,2,2022
365,Verona,Empoli,37,1,1,2022
366,Bologna,Napoli,37,2,2,2022
367,Monza,Lecce,37,0,1,2022
368,Lazio,Cremonese,37,3,2,2022
369,Juventus,Milan,37,0,1,2022
370,Sassuolo,Fiorentina,38,1,3,2022
371,Torino,Inter,38,0,1,2022
372,Cremonese,Salernitana,38,2,0,2022
373,Empoli,Lazio,38,0,2,2022
374,Napoli,Sampdoria,38,2,0,2022
375,Atalanta,Monza,38,5,2,2022
376,Roma,Spezia,38,2,1,2022
377,Lecce,Bologna,38,2,3,2022
378,Milan,Verona,38,3,1,2022
379,Udinese,Juventus,38,0,1,2022
