,squadra_casa,squadra_trasferta,giornata,goal_casa,goal_trasferta,anno
86,Fiorentina,Cagliari,9,3,0,2021
87,Verona,Lazio,9,4,1,2021
88,Roma,Napoli,9,0,0,2021
89,Inter,Juventus,9,1,1,2021
90,Spezia,Genoa,10,1,1,2021
91,Venezia,Salernitana,10,1,2,2021
92,Milan,Torino,10,1,0,2021
93,Juventus,Sassuolo,10,1,2,2021
94,Sampdoria,Atalanta,10,1,3,2021
95,Udinese,Verona,10,1,1,2021
96,Cagliari,Roma,10,1,2,2021
97,Empoli,Inter,10,0,2,2021
98,Lazio,Fiorentina,10,1,0,2021
99,Napoli,Bologna,10,3,0,2021
100,Atalanta,Lazio,11,2,2,2021
101,Verona,Juventus,11,2,1,2021
102,Torino,Sampdoria,11,3,0,2021
103,Inter,Udinese,11,2,0,2021
104,Fiorentina,Spezia,11,3,0,2021
105,Genoa,Venezia,11,0,0,2021
106,Sassuolo,Empoli,11,1,2,2021
107,Salernitana,Napoli,11,0,1,2021
108,Roma,Milan,11,1,2,2021
109,Bologna,Cagliari,11,2,0,2021
110,Empoli,Genoa,12,2,2,2021
111,Spezia,Torino,12,1,0,2021
112,Juventus,Fiorentina,12,1,0,2021
113,Cagliari,Atalanta,12,1,2,2021
114,Venezia,Roma,12,3,2,2021
115,Sampdoria,Bologna,12,1,2,2021
116,Udinese,Sassuolo,12,3,2,2021
117,Lazio,Salernitana,12,3,0,2021
118,Napoli,Verona,12,1,1,2021
119,Milan,Inter,12,1,1,2021
120,Atalanta,Spezia,13,5,2,2021
121,Lazio,Juventus,13,0,2,2021
122,Fiorentina,Milan,13,4,3,2021
123,Sassuolo,Cagliari,13,2,2,2021
124,Bologna,Venezia,13,0,1,2021
125,Salernitana,Sampdoria,13,0,2,2021
126,Inter,Napoli,13,3,2,2021
127,Genoa,Roma,13,0,2,2021
128,Verona,Empoli,13,2,1,2021
129,Torino,Udinese,13,2,1,2021
130,Cagliari,Salernitana,14,1,1,2021
131,Empoli,Fiorentina,14,2,1,2021
132,Sampdoria,Verona,14,3,1,2021
133,Juventus,Atalanta,14,0,1,2021
134,Venezia,Inter,14,0,2,2021
135,Udinese,Genoa,14,0,0,2021
136,Milan,Sassuolo,14,1,3,2021
137,Spezia,Bologna,14,0,1,2021
138,Roma,Torino,14,1,0,2021
139,Napoli,Lazio,14,4,0,2021
140,Atalanta,Venezia,15,4,0,2021
141,Fiorentina,Sampdoria,15,3,1,2021
142,Verona,Cagliari,15,0,0,2021
143,Salernitana,Juventus,15,0,2,2021
144,Bologna,Roma,15,1,0,2021
145,Inter,Spezia,15,2,0,2021
146,Genoa,Milan,15,0,3,2021
147,Sassuolo,Napoli,15,2,2,2021
148,Torino,Empoli,15,2,2,2021
149,Lazio,Udinese,15,4,4,2021
150,Milan,Salernitana,16,2,0,2021
151,Roma,Inter,16,0,3,2021
152,Napoli,Atalanta,16,2,3,2021
153,Bologna,Fiorentina,16,2,3,2021
154,Spezia,Sassuolo,16,2,2,2021
155,Venezia,Verona,16,3,4,2021
156,Sampdoria,Lazio,16,1,3,2021
157,Juventus,Genoa,16,2,0,2021
158,Empoli,Udinese,16,3,1,2021
159,Cagliari,Torino,16,1,1,2021
160,Genoa,Sampdoria,17,1,3,2021
161,Fiorentina,Salernitana,17,4,0,2021
162,Venezia,Juventus,17,1,1,2021
163,Udinese,Milan,17,1,1,2021
164,Torino,Bologna,17,2,1,2021
165,Verona,Atalanta,17,1,2,2021
166,Napoli,Empoli,17,0,1,2021
167,Sassuolo,Lazio,17,2,1,2021
168,Inter,Cagliari,17,4,0,2021
169,Roma,Spezia,17,2,0,2021
170,Lazio,Genoa,18,3,1,2021
171,Salernitana,Inter,18,0,5,2021
172,Atalanta,Roma,18,1,4,2021
173,Bologna,Juventus,18,0,2,2021
174,Cagliari,Udinese,18,0,4,2021
175,Fiorentina,Sassuolo,18,2,2,2021
176,Spezia,Empoli,18,1,1,2021
177,Sampdoria,Venezia,18,1,1,2021
178,Torino,Verona,18,1,0,2021
179,Milan,Napoli,18,0,1,2021
180,Genoa,Atalanta,19,0,0,2021
181,Juventus,Cagliari,19,2,0,2021
182,Sassuolo,Bologna,19,0,3,2021
183,Venezia,Lazio,19,1,3,2021
184,Verona,Fiorentina,19,1,1,2021
185,Inter,Torino,19,1,0,2021
186,Roma,Sampdoria,19,1,1,2021
187,Empoli,Milan,19,2,4,2021
188,Napoli,Spezia,19,0,1,2021
189,Udinese,Salernitana,19,0,1,2021
190,Sampdoria,Cagliari,20,1,2,2021
191,Lazio,Empoli,20,3,3,2021
192,Spezia,Verona,20,1,2,2021
193,Sassuolo,Genoa,20,1,1,2021
194,Milan,Roma,20,3,1,2021
195,Juventus,Napoli,20,1,1,2021
196,Fiorentina,Udinese,20,0,4,2021
197,Atalanta,Torino,20,4,4,2021
198,Bologna,Inter,20,2,1,2021
199,Salernitana,Venezia,20,2,1,2021
200,Venezia,Milan,21,0,3,2021
201,Empoli,Sassuolo,21,1,5,2021
202,Napoli,Sampdoria,21,1,0,2021
203,Udinese,Atalanta,21,2,6,2021
204,Genoa,Spezia,21,0,1,2021
205,Roma,Juventus,21,3,4,2021
206,Verona,Salernitana,21,1,2,2021
207,Inter,Lazio,21,2,1,2021
208,Torino,Fiorentina,21,4,0,2021
209,Cagliari,Bologna,21,2,1,2021
210,Sampdoria,Torino,22,1,2,2021
211,Salernitana,Lazio,22,0,3,2021
212,Juventus,Udinese,22,2,0,2021
213,Sassuolo,Verona,22,2,4,2021
214,Venezia,Empoli,22,1,1,2021
215,Roma,Cagliari,22,1,0,2021
216,Atalanta,Inter,22,0,0,2021
217,Bologna,Napoli,22,0,2,2021
218,Milan,Spezia,22,1,2,2021
219,Fiorentina,Genoa,22,6,0,2021
220,Verona,Bologna,23,2,1,2021
221,Genoa,Udinese,23,0,0,2021
222,Inter,Venezia,23,2,1,2021
223,Lazio,Atalanta,23,0,0,2021
224,Cagliari,Fiorentina,23,1,1,2021
225,Napoli,Salernitana,23,4,1,2021
226,Spezia,Sampdoria,23,1,0,2021
227,Torino,Sassuolo,23,1,1,2021
228,Empoli,Roma,23,2,4,2021
229,Milan,Juventus,23,0,0,2021
230,Roma,Genoa,24,0,0,2021
231,Inter,Milan,24,1,2,2021
232,Fiorentina,Lazio,24,0,3,2021
233,Atalanta,Cagliari,24,1,2,2021
234,Bologna,Empoli,24,0,0,2021
235,Sampdoria,Sassuolo,24,4,0,2021
236,Venezia,Napoli,24,0,2,2021
237,Udinese,Torino,24,2,0,2021
238,Juventus,Verona,24,2,0,2021
239,Salernitana,Spezia,24,2,2,2021
240,Lazio,Bologna,25,3,0,2021
241,Napoli,Inter,25,1,1,2021
242,Torino,Venezia,25,1,2,2021
243,Milan,Sampdoria,25,1,0,2021
244,Empoli,Cagliari,25,1,1,2021
245,Genoa,Salernitana,25,1,1,2021
246,Verona,Udinese,25,4,0,2021
247,Sassuolo,Roma,25,2,2,2021
248,Atalanta,Juventus,25,1,1,2021
249,Spezia,Fiorentina,25,1,2,2021
250,Juventus,Torino,26,1,1,2021
251,Sampdoria,Empoli,26,2,0,2021
252,Roma,Verona,26,2,2,2021
253,Salernitana,Milan,26,2,2,2021
254,Fiorentina,Atalanta,26,1,0,2021
255,Venezia,Genoa,26,1,1,2021
256,Inter,Sassuolo,26,0,2,2021
257,Udinese,Lazio,26,1,1,2021
258,Cagliari,Napoli,26,1,1,2021
259,Bologna,Spezia,26,2,1,2021
260,Milan,Udinese,27,1,1,2021
261,Genoa,Inter,27,0,0,2021
262,Salernitana,Bologna,27,1,1,2021
263,Empoli,Juventus,27,2,3,2021
264,Sassuolo,Fiorentina,27,2,1,2021
265,Torino,Cagliari,27,1,2,2021
266,Verona,Venezia,27,3,1,2021
267,Spezia,Roma,27,0,1,2021
268,Lazio,Napoli,27,1,2,2021
269,Atalanta,Sampdoria,27,4,0,2021
270,Inter,Salernitana,28,5,0,2021
271,Udinese,Sampdoria,28,2,1,2021
272,Roma,Atalanta,28,1,0,2021
273,Cagliari,Lazio,28,0,3,2021
274,Genoa,Empoli,28,0,0,2021
275,Bologna,Torino,28,0,0,2021
276,Fiorentina,Verona,28,1,1,2021
277,Venezia,Sassuolo,28,1,4,2021
278,Juventus,Spezia,28,1,0,2021
279,Napoli,Milan,28,0,1,2021
280,Salernitana,Sassuolo,29,2,2,2021
281,Spezia,Cagliari,29,2,0,2021
282,Sampdoria,Juventus,29,1,3,2021
283,Milan,Empoli,29,1,0,2021
284,Fiorentina,Bologna,29,1,0,2021
285,Verona,Napoli,29,1,2,2021
286,Atalanta,Genoa,29,0,0,2021
287,Udinese,Roma,29,1,1,2021
288,Torino,Inter,29,1,1,2021
289,Lazio,Venezia,29,1,0,2021
290,Sassuolo,Spezia,30,4,1,2021
291,Genoa,Torino,30,1,0,2021
292,Napoli,Udinese,30,2,1,2021
293,Inter,Fiorentina,30,1,1,2021
294,Cagliari,Milan,30,0,1,2021
295,Venezia,Sampdoria,30,0,2,2021
296,Empoli,Verona,30,1,1,2021
297,Juventus,Salernitana,30,2,0,2021
298,Roma,Lazio,30,3,0,2021
299,Bologna,Atalanta,30,0,1,2021
300,Spezia,Venezia,31,1,0,2021
301,Lazio,Sassuolo,31,2,1,2021
302,Salernitana,Torino,31,0,1,2021
303,Fiorentina,Empoli,31,1,0,2021
304,Atalanta,Napoli,31,1,3,2021
305,Udinese,Cagliari,31,5,1,2021
306,Sampdoria,Roma,31,0,1,2021
307,Juventus,Inter,31,0,1,2021
308,Verona,Genoa,31,1,0,2021
309,Milan,Bologna,31,0,0,2021
310,Empoli,Spezia,32,0,0,2021
311,Inter,Verona,32,2,0,2021
312,Cagliari,Juventus,32,1,2,2021
313,Genoa,Lazio,32,1,4,2021
314,Napoli,Fiorentina,32,2,3,2021
315,Sassuolo,Atalanta,32,2,1,2021
316,Venezia,Udinese,32,1,2,2021
317,Roma,Salernitana,32,2,1,2021
318,Torino,Milan,32,0,0,2021
319,Bologna,Sampdoria,32,2,0,2021
320,Spezia,Inter,33,1,3,2021
321,Milan,Genoa,33,2,0,2021
322,Cagliari,Sassuolo,33,1,0,2021
323,Sampdoria,Salernitana,33,1,2,2021
324,Udinese,Empoli,33,4,1,2021
325,Fiorentina,Venezia,33,1,0,2021
326,Juventus,Bologna,33,1,1,2021
327,Lazio,Torino,33,1,1,2021
328,Napoli,Roma,33,1,1,2021
329,Atalanta,Verona,33,1,2,2021
330,Torino,Spezia,34,2,1,2021
331,Venezia,Atalanta,34,1,3,2021
332,Inter,Roma,34,3,1,2021
333,Verona,Sampdoria,34,1,1,2021
334,Salernitana,Fiorentina,34,2,1,2021
335,Bologna,Udinese,34,2,2,2021
336,Empoli,Napoli,34,3,2,2021
337,Genoa,Cagliari,34,1,0,2021
338,Lazio,Milan,34,1,2,2021
339,Sassuolo,Juventus,34,1,2,2021
340,Cagliari,Verona,35,1,2,2021
341,Napoli,Sassuolo,35,6,1,2021
342,Sampdoria,Genoa,35,1,0,2021
343,Spezia,Lazio,35,3,4,2021
344,Juventus,Venezia,35,2,1,2021
345,Empoli,Torino,35,1,3,2021
346,Milan,Fiorentina,35,1,0,2021
347,Udinese,Inter,35,1,2,2021
348,Roma,Bologna,35,0,0,2021
349,Atalanta,Salernitana,35,1,1,2021
350,Inter,Empoli,36,4,2,2021
351,Genoa,Juventus,36,2,1,2021
352,Torino,Napoli,36,0,1,2021
353,Sassuolo,Udinese,36,1,1,2021
354,Lazio,Sampdoria,36,2,0,2021
355,Spezia,Atalanta,36,1,3,2021
356,Venezia,Bologna,36,4,3,2021
357,Salernitana,Cagliari,36,1,1,2021
358,Verona,Milan,36,1,3,2021
359,Fiorentina,Roma,36,2,0,2021
360,Empoli,Salernitana,37,1,1,2021
361,Verona,Torino,37,0,1,2021
362,Udinese,Spezia,37,2,3,2021
363,Roma,Venezia,37,1,1,2021
364,Bologna,Sassuolo,37,1,3,2021
365,Napoli,Genoa,37,3,0,2021
366,Milan,Atalanta,37,2,0,2021
367,Cagliari,Inter,37,1,3,2021
368,Sampdoria,Fiorentina,37,4,1,2021
369,Juventus,Lazio,37,2,2,2021
370,Torino,Roma,38,0,3,2021
371,Genoa,Bologna,38,0,1,2021
372,Atalanta,Empoli,38,0,1,2021
373,Fiorentina,Juventus,38,2,0,2021
374,Lazio,Verona,38,3,3,2021
375,Spezia,Napoli,38,0,3,2021
376,Inter,Sampdoria,38,3,0,2021
377,Sassuolo,Milan,38,0,3,2021
378,Salernitana,Udinese,38,0,4,2021
379,Venezia,Cagliari,38,0,0,2021
