,squadra_casa,squadra_trasferta,giornata,goal_casa,goal_trasferta,anno
136,Roma,Cagliari,14,3,2,2020
137,Sampdoria,Sassuolo,14,2,3,2020
138,Spezia,Genoa,14,1,2,2020
139,Udinese,Benevento,14,0,2,2020
140,Inter,Crotone,15,6,2,2020
141,Atalanta,Sassuolo,15,5,1,2020
142,Cagliari,Napoli,15,1,4,2020
143,Fiorentina,Bologna,15,0,0,2020
144,Genoa,Lazio,15,1,1,2020
145,Parma,Torino,15,0,3,2020
146,Roma,Sampdoria,15,1,0,2020
147,Spezia,Verona,15,0,1,2020
148,Benevento,Milan,15,0,2,2020
149,Juventus,Udinese,15,4,1,2020
150,Cagliari,Benevento,16,1,2,2020
151,Atalanta,Parma,16,3,0,2020
152,Bologna,Udinese,16,2,2,2020
153,Crotone,Roma,16,1,3,2020
154,Lazio,Fiorentina,16,2,1,2020
155,Sampdoria,Inter,16,2,1,2020
156,Sassuolo,Genoa,16,2,1,2020
157,Torino,Verona,16,1,1,2020
158,Napoli,Spezia,16,1,2,2020
159,Milan,Juventus,16,1,3,2020
160,Benevento,Atalanta,17,1,4,2020
161,Genoa,Bologna,17,2,0,2020
162,Milan,Torino,17,2,0,2020
163,Roma,Inter,17,2,2,2020
164,Parma,Lazio,17,0,2,2020
165,Udinese,Napoli,17,1,2,2020
166,Verona,Crotone,17,2,1,2020
167,Fiorentina,Cagliari,17,1,0,2020
168,Juventus,Sassuolo,17,3,1,2020
169,Spezia,Sampdoria,17,2,1,2020
170,Lazio,Roma,18,3,0,2020
171,Bologna,Verona,18,1,0,2020
172,Torino,Spezia,18,0,0,2020
173,Sampdoria,Udinese,18,2,1,2020
174,Napoli,Fiorentina,18,6,0,2020
175,Crotone,Benevento,18,4,1,2020
176,Sassuolo,Parma,18,1,1,2020
177,Atalanta,Genoa,18,0,0,2020
178,Inter,Juventus,18,2,0,2020
179,Cagliari,Milan,18,0,2,2020
180,Benevento,Torino,19,2,2,2020
181,Roma,Spezia,19,4,3,2020
182,Milan,Atalanta,19,0,3,2020
183,Udinese,Inter,19,0,0,2020
184,Fiorentina,Crotone,19,2,1,2020
185,Juventus,Bologna,19,2,0,2020
186,Genoa,Cagliari,19,1,0,2020
187,Verona,Napoli,19,3,1,2020
188,Lazio,Sassuolo,19,2,1,2020
189,Parma,Sampdoria,19,0,2,2020
190,Torino,Fiorentina,20,1,1,2020
191,Bologna,Milan,20,1,2,2020
192,Sampdoria,Juventus,20,0,2,2020
193,Inter,Benevento,20,4,0,2020
194,Spezia,Udinese,20,0,1,2020
195,Crotone,Genoa,20,0,3,2020
196,Atalanta,Lazio,20,1,3,2020
197,Cagliari,Sassuolo,20,1,1,2020
198,Napoli,Parma,20,2,0,2020
199,Roma,Verona,20,3,1,2020
200,Fiorentina,Inter,21,0,2,2020
201,Sassuolo,Spezia,21,1,2,2020
202,Atalanta,Torino,21,3,3,2020
203,Juventus,Roma,21,2,0,2020
204,Genoa,Napoli,21,2,1,2020
205,Benevento,Sampdoria,21,1,1,2020
206,Milan,Crotone,21,4,0,2020
207,Udinese,Verona,21,2,0,2020
208,Parma,Bologna,21,0,3,2020
209,Lazio,Cagliari,21,1,0,2020
210,Bologna,Benevento,22,1,1,2020
211,Torino,Genoa,22,0,0,2020
212,Napoli,Juventus,22,1,0,2020
213,Spezia,Milan,22,2,0,2020
214,Roma,Udinese,22,3,0,2020
215,Cagliari,Atalanta,22,0,1,2020
216,Sampdoria,Fiorentina,22,2,1,2020
217,Crotone,Sassuolo,22,1,2,2020
218,Inter,Lazio,22,3,1,2020
219,Verona,Parma,22,2,1,2020
220,Fiorentina,Spezia,23,3,0,2020
221,Cagliari,Torino,23,0,1,2020
222,Lazio,Sampdoria,23,1,0,2020
223,Genoa,Verona,23,2,2,2020
224,Sassuolo,Bologna,23,1,1,2020
225,Parma,Udinese,23,2,2,2020
226,Milan,Inter,23,0,3,2020
227,Atalanta,Napoli,23,4,2,2020
228,Benevento,Roma,23,0,0,2020
229,Juventus,Crotone,23,3,0,2020
230,Spezia,Parma,24,2,2,2020
231,Bologna,Lazio,24,2,0,2020
232,Verona,Juventus,24,1,1,2020
233,Sampdoria,Atalanta,24,0,2,2020
234,Crotone,Cagliari,24,0,2,2020
235,Udinese,Fiorentina,24,1,0,2020
236,Inter,Genoa,24,3,0,2020
237,Napoli,Benevento,24,2,0,2020
238,Roma,Milan,24,1,2,2020
239,Torino,Sassuolo,24,3,2,2020
240,Juventus,Spezia,25,3,0,2020
241,Sassuolo,Napoli,25,3,3,2020
242,Cagliari,Bologna,25,1,0,2020
243,Atalanta,Crotone,25,5,1,2020
244,Fiorentina,Roma,25,1,2,2020
245,Genoa,Sampdoria,25,1,1,2020
246,Milan,Udinese,25,1,1,2020
247,Benevento,Verona,25,0,3,2020
248,Parma,Inter,25,1,2,2020
249,Lazio,Torino,25,0,0,2020
250,Spezia,Benevento,26,1,1,2020
251,Udinese,Sassuolo,26,2,0,2020
252,Juventus,Lazio,26,3,1,2020
253,Roma,Genoa,26,1,0,2020
254,Verona,Milan,26,0,2,2020
255,Fiorentina,Parma,26,3,3,2020
256,Crotone,Torino,26,4,2,2020
257,Sampdoria,Cagliari,26,2,2,2020
258,Napoli,Bologna,26,3,1,2020
259,Inter,Atalanta,26,1,0,2020
260,Lazio,Crotone,27,3,2,2020
261,Atalanta,Spezia,27,3,1,2020
262,Sassuolo,Verona,27,3,2,2020
263,Benevento,Fiorentina,27,1,4,2020
264,Genoa,Udinese,27,1,1,2020
265,Bologna,Sampdoria,27,3,1,2020
266,Torino,Inter,27,1,2,2020
267,Parma,Roma,27,2,0,2020
268,Cagliari,Juventus,27,1,3,2020
269,Milan,Napoli,27,0,1,2020
270,Parma,Genoa,28,1,2,2020
271,Crotone,Bologna,28,2,3,2020
272,Spezia,Cagliari,28,2,1,2020
273,Verona,Atalanta,28,0,2,2020
274,Juventus,Benevento,28,0,1,2020
275,Udinese,Lazio,28,0,1,2020
276,Sampdoria,Torino,28,1,0,2020
277,Fiorentina,Milan,28,2,3,2020
278,Roma,Napoli,28,0,2,2020
279,Inter,Sassuolo,28,2,1,2020
280,Milan,Sampdoria,29,1,1,2020
281,Napoli,Crotone,29,4,3,2020
282,Genoa,Fiorentina,29,1,1,2020
283,Benevento,Parma,29,2,2,2020
284,Sassuolo,Roma,29,2,2,2020
285,Lazio,Spezia,29,2,1,2020
286,Atalanta,Udinese,29,3,2,2020
287,Cagliari,Verona,29,0,2,2020
288,Torino,Juventus,29,2,2,2020
289,Bologna,Inter,29,0,1,2020
290,Spezia,Crotone,30,3,2,2020
291,Parma,Milan,30,1,3,2020
292,Udinese,Torino,30,0,1,2020
293,Inter,Cagliari,30,1,0,2020
294,Juventus,Genoa,30,3,1,2020
295,Verona,Lazio,30,0,1,2020
296,Sampdoria,Napoli,30,0,2,2020
297,Roma,Bologna,30,1,0,2020
298,Fiorentina,Atalanta,30,2,3,2020
299,Benevento,Sassuolo,30,0,1,2020
300,Crotone,Udinese,31,1,2,2020
301,Sampdoria,Verona,31,3,1,2020
302,Sassuolo,Fiorentina,31,3,1,2020
303,Cagliari,Parma,31,4,3,2020
304,Milan,Genoa,31,2,1,2020
305,Lazio,Benevento,31,5,3,2020
306,Atalanta,Juventus,31,1,0,2020
307,Bologna,Spezia,31,4,1,2020
308,Torino,Roma,31,3,1,2020
309,Napoli,Inter,31,1,1,2020
310,Verona,Fiorentina,32,1,2,2020
311,Milan,Sassuolo,32,1,2,2020
312,Genoa,Benevento,32,2,2,2020
313,Udinese,Cagliari,32,0,1,2020
314,Spezia,Inter,32,1,1,2020
315,Juventus,Parma,32,3,1,2020
316,Crotone,Sampdoria,32,0,1,2020
317,Bologna,Torino,32,1,1,2020
318,Roma,Atalanta,32,1,1,2020
319,Napoli,Lazio,32,5,2,2020
320,Genoa,Spezia,33,2,0,2020
321,Parma,Crotone,33,3,4,2020
322,Sassuolo,Sampdoria,33,1,0,2020
323,Benevento,Udinese,33,2,4,2020
324,Fiorentina,Juventus,33,1,1,2020
325,Inter,Verona,33,1,0,2020
326,Cagliari,Roma,33,3,2,2020
327,Atalanta,Bologna,33,5,0,2020
328,Torino,Napoli,33,0,2,2020
329,Lazio,Milan,33,3,0,2020
330,Verona,Spezia,34,1,1,2020
331,Crotone,Inter,34,0,2,2020
332,Milan,Benevento,34,2,0,2020
333,Lazio,Genoa,34,4,3,2020
334,Sassuolo,Atalanta,34,1,1,2020
335,Napoli,Cagliari,34,1,1,2020
336,Bologna,Fiorentina,34,3,3,2020
337,Udinese,Juventus,34,1,2,2020
338,Sampdoria,Roma,34,2,0,2020
339,Torino,Parma,34,1,0,2020
340,Udinese,Bologna,35,1,1,2020
341,Spezia,Napoli,35,1,4,2020
342,Inter,Sampdoria,35,5,1,2020
343,Fiorentina,Lazio,35,2,0,2020
344,Genoa,Sassuolo,35,1,2,2020
345,Parma,Atalanta,35,2,5,2020
346,Benevento,Cagliari,35,1,3,2020
347,Verona,Torino,35,1,1,2020
348,Roma,Crotone,35,5,0,2020
349,Juventus,Milan,35,0,3,2020
350,Napoli,Udinese,36,5,1,2020
351,Cagliari,Fiorentina,36,0,0,2020
352,Atalanta,Benevento,36,2,0,2020
353,Bologna,Genoa,36,0,2,2020
354,Sassuolo,Juventus,36,1,3,2020
355,Torino,Milan,36,0,7,2020
356,Lazio,Parma,36,1,0,2020
357,Inter,Roma,36,3,1,2020
358,Sampdoria,Spezia,36,2,2,2020
359,Crotone,Verona,36,2,1,2020
360,Genoa,Atalanta,37,3,4,2020
361,Spezia,Torino,37,4,1,2020
362,Juventus,Inter,37,3,2,2020
363,Roma,Lazio,37,2,0,2020
364,Fiorentina,Napoli,37,0,2,2020
365,Benevento,Crotone,37,1,1,2020
366,Udinese,Sampdoria,37,0,1,2020
367,Parma,Sassuolo,37,1,3,2020
368,Milan,Cagliari,37,0,0,2020
369,Verona,Bologna,37,2,2,2020
370,Crotone,Fiorentina,38,0,0,2020
371,Cagliari,Genoa,38,0,1,2020
372,Sampdoria,Parma,38,3,0,2020
373,Inter,Udinese,38,5,1,2020
374,Torino,Benevento,38,1,1,2020
375,Bologna,Juventus,38,1,4,2020
376,Sassuolo,Lazio,38,2,0,2020
377,Atalanta,Milan,38,0,2,2020
378,Spezia,Roma,38,2,2,2020
379,Napoli,Verona,38,1,1,2020
