,squadra_casa,squadra_trasferta,giornata,goal_casa,goal_trasferta,anno
270,Juventus,Lecce,28,4,0,2019
271,Brescia,Genoa,28,2,2,2019
272,Cagliari,Torino,28,4,2,2019
273,Lazio,Fiorentina,28,2,1,2019
274,Milan,Roma,28,2,0,2019
275,Udinese,Atalanta,28,2,3,2019
276,Sampdoria,Bologna,28,1,2,2019
277,Sassuolo,Verona,28,3,3,2019
278,Napoli,Spal,28,3,1,2019
279,Parma,Inter,28,1,2,2019
280,Torino,Lazio,29,1,2,2019
281,Genoa,Juventus,29,1,3,2019
282,Inter,Brescia,29,6,0,2019
283,Bologna,Cagliari,29,1,1,2019
284,Spal,Milan,29,2,2,2019
285,Verona,Parma,29,3,2,2019
286,Lecce,Sampdoria,29,1,2,2019
287,Fiorentina,Sassuolo,29,1,3,2019
288,Atalanta,Napoli,29,2,0,2019
289,Roma,Udinese,29,0,2,2019
290,Juventus,Torino,30,4,1,2019
291,Sassuolo,Lecce,30,4,2,2019
292,Lazio,Milan,30,0,3,2019
293,Inter,Bologna,30,1,2,2019
294,Cagliari,Atalanta,30,0,1,2019
295,Parma,Fiorentina,30,1,2,2019
296,Udinese,Genoa,30,2,2,2019
297,Brescia,Verona,30,2,0,2019
298,Sampdoria,Spal,30,3,0,2019
299,Napoli,Roma,30,2,1,2019
300,Lecce,Lazio,31,2,1,2019
301,Milan,Juventus,31,4,2,2019
302,Fiorentina,Cagliari,31,0,0,2019
303,Genoa,Napoli,31,1,2,2019
304,Torino,Brescia,31,3,1,2019
305,Roma,Parma,31,2,1,2019
306,Atalanta,Sampdoria,31,2,0,2019
307,Bologna,Sassuolo,31,1,2,2019
308,Spal,Udinese,31,0,3,2019
309,Verona,Inter,31,2,2,2019
310,Lazio,Sassuolo,32,1,2,2019
311,Brescia,Roma,32,0,3,2019
312,Juventus,Atalanta,32,2,2,2019
313,Genoa,Spal,32,2,0,2019
314,Parma,Bologna,32,2,2,2019
315,Fiorentina,Verona,32,1,1,2019
316,Cagliari,Lecce,32,0,0,2019
317,Udinese,Sampdoria,32,1,3,2019
318,Napoli,Milan,32,2,2,2019
319,Inter,Torino,32,3,1,2019
320,Atalanta,Brescia,33,6,2,2019
321,Sampdoria,Cagliari,33,3,0,2019
322,Bologna,Napoli,33,1,1,2019
323,Milan,Parma,33,3,1,2019
324,Lecce,Fiorentina,33,1,3,2019
325,Roma,Verona,33,2,1,2019
326,Sassuolo,Juventus,33,3,3,2019
327,Udinese,Lazio,33,0,0,2019
328,Torino,Genoa,33,3,0,2019
329,Spal,Inter,33,0,4,2019
330,Verona,Atalanta,34,1,1,2019
331,Cagliari,Sassuolo,34,1,1,2019
332,Milan,Bologna,34,5,1,2019
333,Parma,Sampdoria,34,2,3,2019
334,Genoa,Lecce,34,2,1,2019
335,Brescia,Spal,34,2,1,2019
336,Fiorentina,Torino,34,2,0,2019
337,Napoli,Udinese,34,2,1,2019
338,Roma,Inter,34,2,2,2019
339,Juventus,Lazio,34,2,1,2019
340,Atalanta,Bologna,35,1,0,2019
341,Sassuolo,Milan,35,1,2,2019
342,Parma,Napoli,35,2,1,2019
343,Lecce,Brescia,35,3,1,2019
344,Inter,Fiorentina,35,0,0,2019
345,Sampdoria,Genoa,35,1,2,2019
346,Torino,Verona,35,1,1,2019
347,Spal,Roma,35,1,6,2019
348,Udinese,Juventus,35,2,1,2019
349,Lazio,Cagliari,35,2,1,2019
350,Milan,Atalanta,36,1,1,2019
351,Brescia,Parma,36,1,2,2019
352,Genoa,Inter,36,0,3,2019
353,Napoli,Sassuolo,36,2,0,2019
354,Bologna,Lecce,36,3,2,2019
355,Roma,Fiorentina,36,2,1,2019
356,Verona,Lazio,36,1,5,2019
357,Spal,Torino,36,1,1,2019
358,Cagliari,Udinese,36,0,1,2019
359,Juventus,Sampdoria,36,2,0,2019
360,Parma,Atalanta,37,1,2,2019
361,Inter,Napoli,37,2,0,2019
362,Lazio,Brescia,37,2,0,2019
363,Sassuolo,Genoa,37,5,0,2019
364,Udinese,Lecce,37,1,2,2019
365,Sampdoria,Milan,37,1,4,2019
366,Verona,Spal,37,3,0,2019
367,Fiorentina,Bologna,37,4,0,2019
368,Cagliari,Juventus,37,2,0,2019
369,Torino,Roma,37,2,3,2019
370,Brescia,Sampdoria,38,1,1,2019
371,Milan,Cagliari,38,3,0,2019
372,Atalanta,Inter,38,0,2,2019
373,Napoli,Lazio,38,3,1,2019
374,Juventus,Roma,38,1,3,2019
375,Spal,Fiorentina,38,1,3,2019
376,Genoa,Verona,38,3,0,2019
377,Lecce,Parma,38,3,4,2019
378,Bologna,Torino,38,1,1,2019
379,Sassuolo,Udinese,38,0,1,2019
