,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs,mediagol_fatti h,mediagol_subiti h,varianzagol_fatti h,varianzagol_subiti h,mediagol_fatti a,mediagol_subiti a,varianzagol_fatti a,varianzagol_subiti a
10,Salernitana-Lecce,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1 , 2,1.4285714285714286,1.1428571428571428,1.3972762620115438,0.8997354108424372,0.8571428571428571,1.1428571428571428,0.6900655593423541,0.3779644730092273
11,Bologna-Empoli,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0 , 1,1.0,1.4285714285714286,0.816496580927726,0.5345224838248488,0.8571428571428571,1.0,0.6900655593423541,0.816496580927726
12,Spezia-Sampdoria,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,2 , 1,1.0,1.5714285714285714,1.0,0.9759000729485332,0.5714285714285714,1.8571428571428568,0.5345224838248488,1.214985792587912
13,Torino-Sassuolo,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0 , 1,0.8571428571428571,1.0,0.8997354108424372,1.0,0.7142857142857143,1.1428571428571428,0.7559289460184544,1.4638501094227998
14,Udinese-Inter,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0,1.0,0.0,3.0,1.0,3.0,0.0,3 , 1,2.142857142857143,1.0,1.3451854182690983,1.4142135623730951,1.8571428571428568,1.5714285714285714,0.8997354108424372,1.3972762620115438
15,Cremonese-Lazio,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0 , 4,0.7142857142857143,2.0,0.7559289460184544,1.4142135623730951,1.8571428571428568,0.7142857142857143,1.3451854182690983,0.7559289460184544
16,Fiorentina-Verona,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2 , 0,1.0,0.8571428571428571,1.1547005383792517,0.8997354108424372,0.8571428571428571,1.8571428571428568,0.8997354108424372,1.4638501094227998
17,Monza-Juventus,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1 , 0,0.5714285714285714,2.0,0.5345224838248488,1.2909944487358056,1.2857142857142858,0.7142857142857143,1.1126972805283737,0.7559289460184545
18,Roma-Atalanta,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0 , 1,1.1428571428571428,1.0,1.0690449676496976,1.4142135623730951,1.5714285714285714,0.4285714285714285,0.7867957924694432,0.5345224838248487
19,Milan-Napoli,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1 , 2,1.8571428571428568,1.1428571428571428,1.3451854182690983,0.8997354108424372,2.142857142857143,0.7142857142857143,1.772810520855837,0.7559289460184544
20,Napoli-Torino,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,3 , 1,2.25,0.75,1.6690459207925603,0.7071067811865476,0.875,1.25,0.8345229603962802,1.164964745021435
21,Inter-Roma,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,0.0,3.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,1.0,1 , 2,1.75,1.625,0.8864052604279183,1.3024701806293193,1.25,1.0,1.035098339013531,1.3093073414159542
22,Empoli-Milan,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1 , 3,0.875,1.25,0.6408699444616557,1.035098339013531,2.0,1.125,1.3093073414159542,0.8345229603962802
23,Lazio-Spezia,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,4 , 0,2.125,0.625,1.4577379737113252,0.7440238091428449,0.875,1.875,0.9910312089651148,1.246423454758225
24,Lecce-Cremonese,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,4.0,1 , 1,0.875,1.125,0.6408699444616557,0.3535533905932738,0.75,1.875,0.7071067811865476,1.3562026818605375
25,Sampdoria-Monza,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0 , 3,0.5,2.0,0.5345224838248488,1.1952286093343936,0.875,1.75,0.9910312089651148,1.3887301496588271
26,Sassuolo-Salernitana,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,4.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,5 , 0,1.25,1.0,1.6690459207925603,1.4142135623730951,1.25,1.625,1.3887301496588271,1.5979898086569353
27,Atalanta-Fiorentina,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1 , 0,1.5,0.375,0.7559289460184544,0.5175491695067657,0.875,0.875,1.1259916264596033,0.8345229603962802
28,Juventus-Bologna,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,3 , 0,1.5,0.625,1.1952286093343936,0.7440238091428449,0.875,1.625,0.8345229603962802,0.7440238091428449
29,Verona-Udinese,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,1 , 2,0.875,1.875,0.8345229603962802,1.3562026818605375,2.125,1.0,1.246423454758225,1.3093073414159542
30,Sassuolo-Inter,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,2.0,1 , 2,1.2222222222222223,1.1111111111111112,1.563471919941143,1.3642254619787415,1.7777777777777777,1.5555555555555556,0.8333333333333334,1.2360330811826103
31,Milan-Juventus,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,2 , 0,2.0,1.0,1.224744871391589,0.8660254037844386,1.3333333333333333,0.7777777777777778,1.224744871391589,0.8333333333333334
32,Bologna-Sampdoria,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,1 , 1,0.8888888888888888,1.5555555555555556,0.7817359599705717,0.7264831572567789,0.5555555555555556,1.8888888888888888,0.5270462766947299,1.1666666666666663
33,Torino-Empoli,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,1 , 1,0.8888888888888888,1.2222222222222223,0.7817359599705717,1.0929064207170005,0.8888888888888888,1.2222222222222223,0.6009252125773316,0.9718253158075502
34,Monza-Spezia,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,4.0,2 , 0,1.0,1.5555555555555556,1.0,1.4240006242195886,0.7777777777777778,1.8888888888888888,0.9718253158075502,1.1666666666666667
35,Salernitana-Verona,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2 , 1,1.3333333333333333,1.5555555555555556,1.3228756555322954,1.5092308563562362,0.8888888888888888,1.8888888888888888,0.7817359599705717,1.2692955176439846
36,Udinese-Atalanta,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2 , 2,2.111111111111111,1.1111111111111112,1.1666666666666663,1.2692955176439846,1.5555555555555556,0.5555555555555556,0.7264831572567789,0.7264831572567789
37,Cremonese-Napoli,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1 , 4,0.7777777777777778,2.111111111111111,0.6666666666666669,1.4529663145135578,2.4444444444444446,0.7777777777777778,1.6666666666666667,0.6666666666666669
38,Roma-Lecce,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2 , 1,1.3333333333333333,1.0,1.0,1.224744871391589,0.8888888888888888,1.2222222222222223,0.6009252125773316,0.4409585518440984
39,Fiorentina-Lazio,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0 , 4,0.7777777777777778,1.2222222222222223,1.0929064207170005,1.301708279317776,2.333333333333333,0.5555555555555556,1.5,0.7264831572567789
40,Empoli-Monza,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1 , 0,0.9,1.1,0.5676462121975466,0.9944289260117531,0.9,1.5,0.9944289260117531,1.35400640077266
41,Torino-Juventus,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,0 , 1,0.8,1.2,0.7888106377466155,1.0327955589886444,1.3,0.7,1.1595018087284057,0.8232726023485646
42,Atalanta-Sassuolo,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,1.0,0.0,3.0,0.0,0.0,2.0,2 , 1,1.6,0.6,0.6992058987801011,0.699205898780101,1.2,1.2,1.4757295747452437,1.3165611772087666
43,Inter-Salernitana,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,2 , 0,1.8,1.4,0.7888106377466155,1.2649110640673518,1.2,1.6,1.3165611772087666,1.4298407059684812
44,Lazio-Udinese,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0 , 0,2.1,0.5,1.5951314818673863,0.7071067811865476,1.9,1.0,1.286683937707919,1.247219128924647
45,Spezia-Cremonese,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,4.0,2 , 2,0.9,1.9,0.9944289260117534,1.100504934614612,0.9,2.1,0.7378647873726218,1.3703203194062978
46,Napoli-Bologna,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,3 , 2,2.5,0.9,1.5811388300841898,0.7378647873726218,1.0,1.7,0.816496580927726,0.8232726023485646
47,Verona-Milan,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,1 , 2,0.9,1.9,0.7378647873726218,1.1972189997378648,2.0,1.0,1.1547005383792517,0.816496580927726
48,Sampdoria-Roma,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0 , 1,0.5,1.8,0.5270462766947299,1.1352924243950933,1.3,0.9,0.9486832980505138,1.1972189997378648
49,Lecce-Fiorentina,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,1 , 1,0.9,1.2,0.5676462121975466,0.4216370213557839,0.8,1.2,1.0327955589886446,1.229272594305718
50,Juventus-Empoli,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,4 , 0,1.5454545454545454,0.6363636363636364,1.3684762594679063,0.8090398349558906,0.8181818181818182,1.3636363636363635,0.6030226891555273,1.2862913567871996
51,Salernitana-Spezia,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,4.0,2.0,2.0,1 , 0,1.181818181818182,1.4545454545454546,1.2504544628399563,1.4396969378057567,0.8181818181818182,1.818181818181818,0.9816498172140428,1.0787197799411874
52,Milan-Monza,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,4 , 1,2.1818181818181817,1.0,1.2504544628399563,0.7745966692414834,0.9090909090909092,1.7272727272727273,0.9438798074485388,1.489356175728901
53,Fiorentina-Inter,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,3 , 4,1.0,1.4545454545454546,1.1832159566199232,1.4396969378057567,2.0,1.5454545454545454,1.0,1.2933395813657265
54,Udinese-Torino,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1 , 2,1.818181818181818,1.0909090909090908,1.2504544628399563,1.2210278829367864,0.9090909090909092,1.181818181818182,0.8312094145936334,0.9816498172140428
