,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs,mediagol_fatti h,mediagol_subiti h,varianzagol_fatti h,varianzagol_subiti h,mediagol_fatti a,mediagol_subiti a,varianzagol_fatti a,varianzagol_subiti a
119,Spezia-Sampdoria,1.0,0.0,0.0,0.0,2.0,16.0,2.0,2.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,2 , 1,1.3529411764705883,1.8823529411764703,0.8617697249402123,1.3173056280328643,1.5294117647058822,1.6470588235294117,1.007326105267277,0.8617697249402124
120,Lazio-Roma,2.0,0.0,1.0,2.0,2.0,8.0,0.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,2.0,4.0,2.0,0.0,1.0,2.0,3 , 0,1.6666666666666667,1.3888888888888888,0.90748521297303,1.2897281468629185,2.055555555555556,1.6111111111111112,1.5893847208431549,1.3779306261410682
121,Bologna-Verona,1.0,1.0,1.0,1.0,0.0,14.0,1.0,0.0,2.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1 , 0,1.3333333333333333,1.7222222222222223,1.1881770515720091,1.319784098009776,1.2222222222222223,0.9444444444444444,0.9428090415820636,0.7253576985527025
122,Torino-Spezia,1.0,1.0,2.0,1.0,0.0,18.0,0.0,0.0,0.0,2.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0 , 0,1.4444444444444444,1.9444444444444444,1.041617645905367,1.3920878193318211,1.2777777777777777,1.7777777777777777,0.8947924869885987,1.3527990831890462
123,Sampdoria-Udinese,2.0,0.0,0.0,2.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2 , 1,1.5555555555555556,1.6111111111111112,0.9835244081556432,0.8498365855987975,1.1111111111111112,1.5555555555555556,1.0786096109392207,1.041617645905367
124,Napoli-Fiorentina,0.0,1.0,2.0,0.0,2.0,6.0,1.0,2.0,1.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,6 , 0,2.2777777777777777,1.0,1.934381054849193,0.90748521297303,1.0,1.6111111111111112,1.0846522890932808,1.576999716098631
125,Crotone-Benevento,0.0,2.0,0.0,0.0,0.0,20.0,2.0,2.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,6.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,4.0,4 , 1,1.1666666666666667,2.2777777777777777,1.2485285456935955,1.6379885640466822,1.1666666666666667,1.8888888888888888,0.8574929257125443,1.7452081921613043
126,Sassuolo-Parma,0.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,3.0,3.0,2.0,1 , 1,1.7222222222222223,1.5,1.3636264606493256,1.4245742398014511,0.7777777777777778,1.8888888888888888,0.8782037520219096,1.323493100445977
127,Atalanta-Genoa,2.0,1.0,2.0,2.0,2.0,5.0,0.0,2.0,1.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,3.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0 , 0,2.2777777777777777,1.2777777777777777,1.7423971167384034,1.0740552924509192,1.0,1.6666666666666667,1.0289915108550531,1.4142135623730947
128,Inter-Juventus,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,0.0,4.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,2 , 0,2.5,1.2777777777777777,1.465284553774253,0.8947924869885987,2.055555555555556,1.0555555555555556,1.3048426644944466,0.7253576985527025
