,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,media gol_fatti h,media gol_subiti h,media gol_fatti a,media gol_subiti a,varianza gol_fatti h,varianza gol_subiti h,varianza gol_fatti a,varianza gol_subiti a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
21,Lecce-Sassuolo,2,1,2,0,0,7,2,0,2,2,0,11,1.125,1.25,1.5,1.75,0.8345229603962802,1.2817398889233114,1.5118578920369088,1.035098339013531,2,1,1,0,0,0,1,0,1,4,3,2,4,2,0,1,4,2,1,1,1,1
22,Inter-Bologna,2,2,2,0,2,1,2,1,1,1,2,8,2.625,0.625,1.0,0.75,1.5059406173077154,0.9161253813129044,1.1952286093343936,0.8864052604279183,4,5,1,1,4,0,1,0,2,0,2,0,0,0,3,1,0,0,0,0,2,2
23,Juventus-Torino,2,2,0,2,1,4,2,2,1,0,1,10,1.75,0.75,0.75,1.125,1.035098339013531,1.3887301496588271,1.035098339013531,1.4577379737113252,2,3,2,1,0,0,1,4,0,0,1,3,1,0,0,0,0,1,2,0,2,0
24,Genoa-Milan,0,1,0,2,1,14,2,0,2,2,2,2,1.25,1.5,2.0,1.0,1.3887301496588271,1.1952286093343936,1.0690449676496976,1.6903085094570331,0,2,0,4,2,1,2,1,1,2,2,1,1,3,2,1,5,0,1,0,0,1
25,Monza-Salernitana,0,1,1,1,2,12,0,0,1,0,0,18,1.0,0.875,0.5,2.125,1.0690449676496976,1.1259916264596033,0.7559289460184544,1.1259916264596033,0,1,1,0,1,3,1,1,0,0,0,0,1,0,0,2,3,1,1,4,3,0
26,Frosinone-Verona,1,2,1,1,0,9,0,1,0,0,1,15,1.375,1.375,0.625,1.0,1.3024701806293193,0.9161253813129044,0.7440238091428449,1.0690449676496976,0,4,1,1,0,0,2,1,1,2,1,0,0,0,0,3,0,1,1,0,2,1
27,Lazio-Atalanta,2,0,1,2,0,16,2,0,2,2,1,6,1.25,1.5,1.625,1.0,1.035098339013531,0.9258200997725514,0.9161253813129044,1.4142135623730951,2,1,1,2,0,1,3,1,0,2,3,2,2,1,0,0,3,0,0,0,3,2
28,Cagliari-Roma,0,1,0,0,0,20,0,2,1,0,2,13,0.375,2.0,2.375,1.5,0.5175491695067657,1.4142135623730951,2.1339098923270936,1.3093073414159542,1,0,0,1,0,2,0,2,3,3,1,7,1,1,2,2,0,1,4,0,1,4
29,Napoli-Fiorentina,0,1,1,2,2,3,0,2,2,1,2,5,2.125,1.125,2.25,1.375,1.4577379737113252,1.1259916264596033,1.2817398889233114,1.3024701806293193,1,2,0,4,4,2,2,0,1,0,0,3,2,1,3,4,2,0,1,0,1,3
30,Verona-Napoli,1,0,0,1,0,16,1,1,2,2,0,5,0.6666666666666666,1.2222222222222223,2.2222222222222223,1.1111111111111112,0.7071067811865476,1.2018504251546631,1.3944333775567928,1.0540925533894598,0,0,0,0,1,0,1,1,0,2,2,0,4,4,1,2,0,1,0,3,1,3
31,Torino-Inter,2,1,0,1,0,14,2,2,0,2,1,2,0.6666666666666666,1.3333333333333333,2.6666666666666665,0.5555555555555556,1.0,1.5,1.4142135623730951,0.881917103688197,3,1,0,0,0,0,1,2,0,2,5,1,1,4,2,1,0,2,0,2,0,3
32,Sassuolo-Lazio,0,2,2,0,1,12,0,1,2,0,2,13,1.3333333333333333,1.7777777777777777,1.3333333333333333,1.3333333333333333,1.5000000000000002,0.9718253158075502,1.0,1.0,2,4,2,0,1,4,2,1,1,1,1,1,2,0,3,3,1,0,2,2,0,2
33,Roma-Monza,2,1,0,2,2,10,1,1,1,2,2,7,2.2222222222222223,1.3333333333333333,0.8888888888888888,0.8888888888888888,2.048034287907418,1.3228756555322954,1.0540925533894598,1.0540925533894598,7,1,1,2,4,0,1,4,0,1,1,1,0,1,3,1,1,0,0,0,1,0
34,Bologna-Frosinone,1,1,1,2,1,11,2,1,1,0,2,8,1.1111111111111112,0.7777777777777778,1.3333333333333333,1.4444444444444444,1.1666666666666667,0.8333333333333334,1.2247448713915892,0.881917103688197,0,0,0,3,2,0,0,0,0,2,4,1,1,0,2,2,1,1,2,1,2,1
35,Salernitana-Cagliari,0,1,0,0,0,19,1,0,0,0,0,20,0.6666666666666666,2.111111111111111,0.5555555555555556,2.0,0.8660254037844388,1.0540925533894598,0.7264831572567789,1.3228756555322954,0,1,0,0,0,3,1,1,4,3,0,0,1,0,1,0,2,3,3,4,2,2
36,Atalanta-Genoa,0,2,2,1,0,6,1,0,2,1,0,15,1.6666666666666667,0.8888888888888888,1.1111111111111112,1.5555555555555556,0.8660254037844386,1.3642254619787415,1.3642254619787415,1.1303883305208784,2,2,1,0,2,3,0,0,0,3,2,0,4,2,0,2,1,1,2,1,2,0
37,Milan-Juventus,0,2,2,2,2,1,2,0,2,1,2,3,1.7777777777777777,1.0,1.6666666666666667,0.6666666666666666,1.2018504251546631,1.5811388300841898,1.0,1.3228756555322954,1,1,3,2,1,5,0,1,0,0,3,2,1,0,2,1,4,0,0,0,0,1
38,Udinese-Lecce,1,0,0,1,1,17,1,2,0,0,1,9,0.5555555555555556,1.4444444444444444,1.1111111111111112,1.2222222222222223,0.7264831572567789,1.4240006242195886,0.7817359599705717,1.2018504251546631,0,0,1,2,0,0,2,4,2,0,1,1,0,0,1,1,0,1,4,1,1,1
39,Fiorentina-Empoli,2,2,1,2,2,4,0,0,2,0,1,18,2.0,1.4444444444444444,0.3333333333333333,1.7777777777777777,1.4142135623730951,1.2360330811826103,0.7071067811865476,2.223610677354389,3,2,1,3,3,2,0,1,0,1,0,0,1,0,0,7,1,0,3,0,0,2
40,Genoa-Salernitana,0,2,1,0,0,15,1,0,0,0,1,19,1.1,1.4,0.6,2.0,1.286683937707919,1.1737877907772671,0.8432740427115678,1.0540925533894598,0,4,2,0,0,1,1,2,1,2,1,0,0,0,2,1,1,4,3,2,1,0
41,Sassuolo-Bologna,2,2,0,1,0,13,1,1,2,1,2,8,1.3,1.7,1.1,0.8,1.4181364924121764,0.9486832980505138,1.100504934614612,0.7888106377466155,4,2,0,1,0,2,1,1,1,2,0,0,3,2,2,0,0,0,2,1,1,1
42,Lecce-Torino,2,0,0,1,1,10,1,0,1,0,0,14,1.0,1.2,0.7,1.2,0.816496580927726,1.1352924243950933,0.9486832980505138,1.4757295747452437,1,0,0,1,1,0,1,4,1,1,1,0,0,0,0,1,2,0,2,3,0,1
43,Juventus-Verona,0,2,1,2,2,3,0,0,1,0,0,16,1.6,0.6,0.6,1.2,0.966091783079296,1.2649110640673515,0.699205898780101,1.1352924243950933,2,1,0,2,1,4,0,0,0,0,0,0,0,1,1,1,1,0,2,3,1,0
44,Cagliari-Frosinone,0,0,0,0,1,20,1,1,0,2,0,12,0.9,2.1,1.5,1.7,1.286683937707919,1.286683937707919,1.2692955176439846,1.1595018087284057,0,1,0,1,2,2,3,3,4,2,1,1,0,2,1,1,1,2,1,2,4,3
45,Monza-Udinese,1,1,2,2,0,11,0,0,1,1,1,18,0.9,0.9,0.6,1.4,0.9944289260117531,0.9944289260117531,0.6992058987801011,1.349897115421106,1,0,1,3,0,1,0,0,0,1,0,1,2,0,1,2,4,2,0,1,1,1
46,Inter-Roma,2,0,2,1,2,1,1,0,2,2,2,7,2.5,0.5,2.0,1.3,1.4337208778404378,0.8498365855987975,2.0548046676563256,1.2516655570345725,1,1,4,2,3,0,2,0,2,0,1,1,2,4,1,1,4,0,1,0,1,0
47,Napoli-Milan,1,2,2,0,2,4,2,2,2,2,0,2,2.2,1.2,1.8,1.1,1.3165611772087666,1.0327955589886444,1.1352924243950933,1.5238839267549948,0,4,4,1,3,0,1,0,3,1,1,3,2,1,0,0,1,0,0,1,2,2
48,Empoli-Atalanta,0,2,0,1,2,17,2,2,1,0,2,6,0.3,1.9,1.8,0.8,0.6749485577105528,2.131770260709264,0.9189365834726816,1.3165611772087669,0,1,0,0,2,1,0,3,0,0,2,1,0,2,2,0,0,0,3,0,0,3
49,Lazio-Fiorentina,1,2,0,2,2,9,2,1,2,2,0,5,1.3,1.2,1.8,1.4,0.9486832980505138,1.0327955589886444,1.4757295747452437,1.1737877907772674,1,2,0,3,2,1,0,2,2,0,2,1,3,3,0,0,1,0,1,2,1,0
50,Bologna-Lazio,1,2,1,2,1,8,2,0,2,2,2,7,1.0909090909090908,0.7272727272727273,1.181818181818182,1.181818181818182,1.044465935734187,0.7862453931068966,0.9816498172140428,0.9816498172140428,0,3,2,2,1,0,0,2,1,1,2,0,3,2,1,0,2,2,0,0,1,0
51,Salernitana-Napoli,0,0,0,1,0,20,2,2,0,2,1,5,0.5454545454545454,2.0,2.1818181818181817,1.0909090909090908,0.8201995322647243,1.0,1.2504544628399563,1.044465935734187,0,0,0,2,0,1,4,3,2,1,4,4,1,3,2,1,0,3,1,2,0,2
52,Atalanta-Inter,2,1,0,2,2,4,0,2,1,2,2,1,1.7272727272727273,0.9090909090909092,2.4545454545454546,0.5454545454545454,0.904534033733291,1.300349603340998,1.3684762594679063,0.8201995322647243,1,0,2,2,3,0,0,3,0,0,1,4,2,3,1,2,0,2,0,0,1,2
53,Milan-Udinese,2,2,2,0,1,3,0,1,1,1,1,17,1.6363636363636365,1.0909090909090908,0.6363636363636364,1.2727272727272727,1.2060453783110543,1.4459976109624426,0.674199862463242,1.3483997249264843,3,2,1,0,2,1,0,0,1,2,1,2,0,1,1,4,2,0,1,1,0,1
54,Verona-Monza,0,1,0,0,0,16,1,2,2,0,1,10,0.6363636363636364,1.3636363636363635,1.0909090909090908,0.9090909090909092,0.6741998624632421,1.2060453783110543,1.136181803634036,0.9438798074485388,0,0,1,1,0,1,0,2,3,1,0,1,3,0,1,0,0,0,1,1,1,3
55,Cagliari-Genoa,0,0,0,1,2,19,2,1,0,0,2,14,1.0,2.0,1.0909090909090908,1.4545454545454546,1.2649110640673518,1.2649110640673518,1.2210278829367864,1.1281521496355325,1,0,1,2,4,3,3,4,2,3,4,2,0,0,1,1,2,1,2,0,2,1
56,Roma-Lecce,0,2,2,2,0,9,0,0,1,1,0,11,2.0,1.2727272727272727,1.0,1.2727272727272727,1.949358868961793,1.1908743922772955,0.7745966692414834,1.1037127426019049,1,2,4,1,0,4,0,1,0,1,0,0,1,1,0,1,4,1,1,1,2,1
57,Fiorentina-Juventus,1,2,2,0,0,6,2,1,2,2,2,2,1.6363636363636365,1.3636363636363635,1.5454545454545454,0.5454545454545454,1.5015143870590966,1.12006493318265,0.9341987329938276,1.2135597524338355,1,3,3,0,0,1,0,1,2,1,1,0,2,1,1,0,0,0,0,0,0,1
58,Frosinone-Empoli,1,0,2,0,0,12,2,0,1,2,0,18,1.5454545454545454,1.6363636363636365,0.3636363636363636,1.9090909090909087,1.2135597524338355,1.12006493318265,0.674199862463242,2.0225995873897262,1,0,2,1,3,1,2,1,2,4,1,0,0,2,0,0,3,0,0,3,2,1
59,Torino-Sassuolo,0,1,0,0,2,13,2,0,1,0,1,15,0.8181818181818182,1.181818181818182,1.2727272727272727,1.7272727272727273,0.9816498172140428,1.4012980994907414,1.3483997249264843,0.9045340337332908,0,0,0,0,1,2,0,2,3,0,2,0,1,0,1,1,1,1,2,1,2,1
60,Sassuolo-Salernitana,0,1,0,1,0,15,0,0,1,0,0,20,1.3333333333333333,1.75,0.6666666666666666,2.0,1.3026778945578592,0.8660254037844386,0.8876253645985948,0.9534625892455924,0,1,0,1,1,1,1,2,1,2,0,0,2,0,0,4,3,2,1,2,2,2
61,Genoa-Verona,1,0,0,2,0,14,1,0,0,0,0,18,1.0833333333333333,1.3333333333333333,0.5833333333333334,1.3333333333333333,1.1645001528813153,1.1547005383792517,0.6685579234215214,1.1547005383792517,2,0,0,1,1,2,1,2,0,2,0,1,1,0,1,0,2,3,1,3,1,0
62,Lecce-Milan,0,1,1,0,0,13,2,2,0,1,0,3,1.0833333333333333,1.3333333333333333,1.6666666666666667,1.1666666666666667,0.7929614610987591,1.0730867399773196,1.1547005383792517,1.403458930534474,0,1,1,0,1,4,1,1,1,2,2,1,0,2,0,0,0,1,2,1,2,2
63,Juventus-Cagliari,1,2,2,2,2,2,0,0,1,2,2,17,1.5833333333333333,0.5833333333333334,1.0,2.0,0.90033663737852,1.1645001528813153,1.2060453783110543,1.2060453783110543,0,2,1,1,1,0,0,0,0,0,0,1,2,4,2,3,4,2,3,1,2,1
64,Monza-Torino,2,2,0,1,2,9,1,0,0,2,2,12,1.0833333333333333,0.9166666666666666,0.8333333333333334,1.1666666666666667,1.0836246694508318,0.90033663737852,0.9374368665610922,1.337115846843043,1,3,0,1,3,0,0,1,1,1,0,0,0,1,2,0,2,3,0,1,1,1
65,Napoli-Empoli,2,0,2,1,2,4,0,1,2,0,0,19,2.0,1.0833333333333333,0.4166666666666667,1.75,1.348399724926484,0.996204919895622,0.6685579234215214,2.0056737702645644,4,1,3,2,2,0,3,1,2,0,0,0,2,0,1,3,0,0,3,2,0,1
66,Fiorentina-Bologna,2,2,0,0,0,8,2,1,2,1,2,6,1.6666666666666667,1.3333333333333333,1.0833333333333333,0.8333333333333334,1.4354811251305468,1.0730867399773196,0.996204919895622,0.8348471099367218,3,3,0,0,0,0,1,2,1,1,3,2,2,1,1,0,2,1,1,0,2,1
67,Udinese-Atalanta,1,1,1,1,2,16,1,0,2,2,0,5,0.6666666666666666,1.25,1.6666666666666667,0.9166666666666666,0.6513389472789295,1.288057028664069,0.8876253645985945,1.2401124093721456,2,0,1,1,1,2,0,1,1,0,0,2,2,3,1,0,3,0,0,2,1,1
68,Lazio-Roma,0,2,2,2,0,10,2,2,2,0,2,7,1.0833333333333333,1.0833333333333333,1.8333333333333333,1.1666666666666667,0.996204919895622,0.996204919895622,1.9462473604038075,1.19341628287971,0,3,2,1,0,2,2,0,0,1,2,4,1,0,2,0,1,0,1,1,0,0
69,Inter-Frosinone,2,1,2,2,2,1,0,2,0,0,2,11,2.4166666666666665,0.5,1.4166666666666667,1.6666666666666667,1.311372170551507,0.7977240352174656,1.2401124093721454,1.0730867399773196,4,2,3,1,2,0,2,0,0,1,0,2,1,3,2,2,1,2,4,1,2,0
70,Salernitana-Lazio,0,1,0,0,1,20,2,2,2,0,1,10,0.7692307692307693,1.9230769230769231,1.0769230769230769,1.1538461538461535,0.9268086959962984,0.9540735874430284,0.9540735874430284,0.9870962335856492,0,2,0,0,2,3,2,1,2,2,3,2,1,0,0,2,0,0,1,0,2,1
71,Atalanta-Napoli,0,2,2,0,1,5,0,2,1,2,0,4,1.6153846153846154,1.0,2.0,1.0769230769230769,0.8697184926229041,1.224744871391589,1.2909944487358056,0.9540735874430284,2,2,3,1,1,3,0,0,2,1,1,3,2,2,0,3,1,2,0,1,1,2
72,Milan-Fiorentina,2,0,1,0,1,3,2,0,0,0,2,6,1.6153846153846154,1.0769230769230769,1.5384615384615383,1.3076923076923077,1.12089707663561,1.3821202589704018,1.4500221041639685,1.0315534712764842,1,0,2,0,2,0,1,2,1,2,3,0,0,0,2,1,2,1,1,1,1,0
73,Cagliari-Monza,0,1,2,2,0,18,2,0,1,2,1,9,1.0,1.9230769230769231,1.0769230769230769,0.9230769230769232,1.1547005383792517,1.1875421719907089,1.0377490433255416,0.8623164985025763,1,2,4,2,1,4,2,3,1,2,3,0,1,3,1,0,1,1,1,1,1,1
74,Empoli-Sassuolo,1,2,0,0,2,17,1,0,1,0,1,15,0.6153846153846154,1.9230769230769231,1.5384615384615383,1.8461538461538465,0.9607689228305228,2.019139192062568,1.4500221041639685,0.898717034272917,0,2,0,1,1,0,0,3,2,0,1,0,1,1,2,1,2,1,2,2,3,4
75,Frosinone-Genoa,2,0,0,2,0,12,0,0,2,0,2,13,1.4615384615384617,1.6153846153846154,1.0769230769230769,1.3846153846153846,1.1982893790305562,1.0439078454267836,1.1151635501529558,1.12089707663561,2,1,3,2,0,1,2,4,1,2,0,0,1,1,1,1,2,0,2,0,2,1
76,Roma-Udinese,2,2,0,2,1,7,1,1,1,2,1,16,1.9230769230769231,1.1538461538461535,0.6923076923076923,1.3846153846153846,1.8912755158683456,1.143543749793731,0.630425171956115,1.325296290046213,4,1,0,2,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,3,1
77,Juventus-Inter,2,2,2,2,2,2,1,2,2,2,2,1,1.5384615384615383,0.6153846153846154,2.3076923076923075,0.5384615384615384,0.8770580193070292,1.12089707663561,1.3155870289605438,0.7762500258061849,2,1,1,1,2,0,0,0,0,1,2,3,1,2,2,2,0,0,1,0,1,1
78,Verona-Lecce,0,0,0,0,0,19,1,1,0,0,1,14,0.6923076923076923,1.3846153846153846,1.1538461538461535,1.3846153846153846,0.7510676161988108,1.12089707663561,0.8006407690254357,1.0439078454267836,1,1,0,1,0,2,3,1,3,1,1,1,0,1,2,1,1,1,2,2,2,2
79,Bologna-Torino,1,2,1,2,0,8,0,0,2,2,1,11,1.1538461538461535,0.7692307692307693,0.7692307692307693,1.2307692307692308,0.987096233585649,0.8320502943378437,0.9268086959962984,1.3008872711759818,2,2,1,1,1,2,1,1,0,2,0,0,1,2,1,2,3,0,1,1,2,0
80,Monza-Juventus,0,1,2,1,1,9,2,2,2,2,1,2,1.0714285714285714,1.0,1.5714285714285714,0.6428571428571429,0.9972489631508747,0.8770580193070292,0.8516306272526403,1.0818177620697815,0,1,3,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,1,1,1,2
81,Genoa-Empoli,0,2,0,2,0,15,2,0,0,2,0,18,1.0714285714285714,1.3571428571428572,0.6428571428571429,1.8571428571428568,1.0716117059605352,1.0818177620697813,0.9287827316640652,1.955550005542129,0,1,1,1,1,2,0,2,0,2,2,0,1,1,3,0,3,2,0,4,1,1
82,Lazio-Cagliari,2,2,0,1,0,11,1,2,2,0,1,17,1.0714285714285714,1.0714285714285714,0.9285714285714286,1.8571428571428568,0.91687476825319,0.9972489631508746,1.1411388181101376,1.167320591199077,2,1,0,0,1,0,0,1,0,2,2,4,2,1,1,2,3,1,2,1,1,0
83,Milan-Frosinone,0,1,0,1,2,3,0,0,2,0,2,10,1.7142857142857142,1.0714285714285714,1.4285714285714286,1.7142857142857142,1.1387288073563857,1.3280573269766118,1.1578684470436789,1.0690449676496976,0,2,0,2,1,1,2,1,2,0,1,3,2,0,2,2,4,1,2,1,3,1
84,Lecce-Bologna,1,0,0,1,1,13,2,1,2,0,2,6,1.1428571428571428,1.3571428571428572,1.1428571428571428,0.7857142857142857,0.7703288865196432,1.0082080720186268,0.9492622930986468,0.8017837257372732,1,0,1,2,2,1,1,2,2,2,2,1,1,1,2,1,1,0,2,0,1,1
85,Fiorentina-Salernitana,0,0,0,2,0,8,1,0,0,1,2,20,1.6428571428571428,1.2142857142857142,0.7142857142857143,2.0,1.4468609447374663,1.05090228108783,0.9138735334633754,0.9607689228305228,0,0,0,2,0,2,1,1,1,1,2,0,0,2,2,2,1,2,2,1,3,0
86,Udinese-Verona,1,1,2,1,0,16,0,0,0,0,1,19,0.8571428571428571,1.5,0.8571428571428571,1.5,0.8644378215075663,1.3445044840729643,0.9492622930986466,1.1602387022306428,1,1,1,1,1,1,1,0,1,3,1,0,1,0,2,3,1,3,1,2,3,3
87,Sassuolo-Roma,0,1,0,1,2,14,2,0,2,1,2,5,1.5,1.8571428571428568,1.9285714285714288,1.1428571428571428,1.4005493427717788,0.8644378215075665,1.817195036917557,1.0994504121565505,0,1,1,2,4,2,1,2,2,3,1,0,2,0,3,0,1,1,0,1,1,2
88,Napoli-Inter,2,1,2,0,2,4,2,2,2,2,1,1,1.8571428571428568,1.2142857142857142,2.357142857142857,0.5,1.3506205330054124,1.05090228108783,1.27744594087896,0.7595545253127499,3,2,2,0,2,1,2,0,1,1,3,1,2,2,1,0,0,1,0,1,0,3
89,Torino-Atalanta,0,2,2,1,0,12,2,2,0,1,0,7,0.9285714285714286,1.1428571428571428,1.5,1.1428571428571428,1.071611705960535,1.292412345317728,0.9405399431259602,1.292412345317728,0,1,2,1,0,3,0,1,1,2,2,3,1,1,1,0,0,2,1,2,3,0
90,Juventus-Napoli,2,2,2,1,2,2,1,2,0,2,0,5,1.5333333333333334,0.6,1.7333333333333334,1.2,0.833809387832792,1.055597325823495,1.3870146083619754,1.0141851056742195,1,1,2,1,2,0,0,1,1,1,2,2,0,2,0,2,0,1,1,3,1,0
91,Verona-Lazio,0,0,0,1,1,18,2,0,1,0,2,9,0.8666666666666667,1.4666666666666666,1.0666666666666669,1.0666666666666669,0.9154754164341268,1.1254628677422756,0.883715101688537,0.9611501047232548,0,1,0,2,3,1,3,1,2,3,1,0,0,1,1,0,1,0,2,0,1,1
