,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,media gol_fatti h,media gol_subiti h,media gol_fatti a,media gol_subiti a,varianza gol_fatti h,varianza gol_subiti h,varianza gol_fatti a,varianza gol_subiti a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
90,Atalanta-Venezia,2,1,2,2,2,4,0,1,2,2,0,16,2.1333333333333333,1.1333333333333333,0.8,1.6666666666666667,1.3557637102737476,0.9154754164341268,0.8618916073713347,1.1751393027860062,3,2,2,5,1,1,2,1,2,0,1,0,3,1,0,2,0,2,0,2,4,0
91,Fiorentina-Sampdoria,0,2,0,2,0,6,0,0,0,2,2,15,1.6,1.3333333333333333,1.4,1.9333333333333331,1.2421180068162376,1.0465362369445672,1.121223821162776,1.334523278535216,0,3,0,4,1,1,0,1,3,2,1,0,1,2,3,3,3,2,0,1,3,1
92,Verona-Cagliari,1,2,1,2,0,10,0,0,0,1,1,19,1.8666666666666667,1.6666666666666667,1.0666666666666669,1.9333333333333331,1.245945806357946,1.1126972805283737,0.9611501047232548,0.9611501047232548,1,2,1,2,1,1,1,1,1,3,1,0,1,2,1,2,2,2,2,1,0,0
93,Salernitana-Juventus,2,0,0,0,1,20,0,0,2,2,0,7,0.7333333333333333,2.066666666666667,1.3333333333333333,1.0666666666666669,0.8837151016885368,1.2798809468443688,0.8997354108424374,0.8837151016885368,2,0,0,0,1,1,1,3,2,1,1,1,1,2,0,2,2,0,0,1,0,2
94,Bologna-Roma,0,2,2,0,2,9,2,0,0,2,2,5,1.4,1.6,1.6,1.0666666666666669,0.9856107606091622,1.8822478962286409,1.1212238211627763,1.1629191512658792,0,2,2,0,1,3,0,1,1,0,2,1,2,2,1,1,2,3,0,0,1,0
95,Inter-Spezia,2,2,1,2,2,3,1,0,2,0,0,17,2.4,1.0,1.0,2.2666666666666666,1.2983506020002018,0.9258200997725514,0.8451542547285166,1.6676187756655838,2,2,1,3,2,0,0,1,2,0,1,0,1,2,0,1,3,0,5,1,2,0
96,Genoa-Milan,1,1,1,0,1,18,2,2,1,0,0,2,1.1333333333333333,1.9333333333333331,2.2,1.2,1.125462867742275,1.0997835284835873,1.082325538564332,1.2071217242444348,1,0,2,0,0,1,0,2,2,0,1,2,1,3,1,0,1,1,4,3,0,3
97,Sassuolo-Napoli,2,0,0,1,2,12,2,2,1,0,2,1,1.6,1.5333333333333334,2.1333333333333333,0.6,0.9856107606091624,0.833809387832792,1.1872336794093274,0.9102589898327994,2,1,2,2,3,1,2,3,2,1,3,1,1,2,4,0,0,1,3,0,2,2
98,Torino-Empoli,0,2,0,2,0,13,0,2,1,0,2,11,1.2666666666666666,1.0666666666666669,1.5333333333333334,1.8666666666666667,1.2798809468443686,0.7037315505489967,1.245945806357946,1.0600988273786192,0,3,0,2,0,1,0,1,1,1,0,2,2,1,2,2,1,2,2,1,2,2
99,Lazio-Udinese,2,1,2,0,0,8,1,0,2,0,1,14,1.9333333333333331,1.9333333333333331,1.3333333333333333,1.6,1.7511900715418265,1.3345232785352157,1.3451854182690983,1.2983506020002014,1,2,3,0,0,0,2,0,2,4,1,0,3,1,0,1,2,2,2,0,4,4
