,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,media gol_fatti h,media gol_subiti h,media gol_fatti a,media gol_subiti a,varianza gol_fatti h,varianza gol_subiti h,varianza gol_fatti a,varianza gol_subiti a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
10,Spal-Parma,0,2,0,0,0,19,2,0,0,2,2,9,0.8571428571428571,1.8571428571428568,1.1428571428571428,1.4285714285714286,0.8997354108424372,1.2149857925879115,1.3451854182690983,0.9759000729485332,0,2,0,1,0,1,1,3,3,2,3,1,0,1,3,1,3,2,0,2,1,0
11,Verona-Sampdoria,2,0,0,1,1,14,0,0,2,0,0,20,0.8571428571428571,0.7142857142857143,0.5714285714285714,2.2857142857142856,0.6900655593423541,0.7559289460184544,0.5345224838248488,1.2535663410560174,1,0,1,0,1,0,1,2,0,1,1,0,1,1,1,4,2,0,2,3,2,0
12,Genoa-Milan,2,0,0,1,0,18,2,2,0,0,0,16,1.1428571428571428,2.142857142857143,0.8571428571428571,1.2857142857142858,1.0690449676496974,1.3451854182690983,0.6900655593423541,1.1126972805283737,2,1,1,0,0,1,2,3,0,4,1,1,0,1,1,0,0,2,2,3,1,2
13,Fiorentina-Udinese,0,1,1,2,2,10,0,0,0,1,2,12,1.7142857142857142,1.4285714285714286,0.4285714285714285,0.8571428571428571,1.1126972805283737,1.3972762620115438,0.5345224838248487,1.0690449676496974,1,0,2,2,3,2,0,2,1,1,1,0,0,0,1,3,1,1,0,0,1,0
14,Atalanta-Lecce,0,2,1,2,2,3,0,2,0,2,0,17,2.571428571428572,1.4285714285714286,1.0,2.142857142857143,0.7867957924694432,0.9759000729485332,1.1547005383792517,1.4638501094227998,2,2,2,2,4,3,1,2,0,1,0,2,1,3,0,1,1,4,1,1,3,1
15,Bologna-Lazio,2,2,0,1,0,11,1,0,2,0,2,6,1.2857142857142858,1.2857142857142858,1.8571428571428568,0.8571428571428571,1.3801311186847085,1.1126972805283737,1.3451854182690983,0.8997354108424372,1,4,1,0,0,0,3,2,0,1,1,1,2,0,4,1,2,0,1,0,2,2
16,Roma-Cagliari,1,2,2,0,2,5,0,2,2,2,1,7,1.7142857142857142,1.4285714285714286,1.4285714285714286,1.0,1.3801311186847085,0.9759000729485332,1.1338934190276817,0.5773502691896257,1,4,2,0,1,1,2,1,2,0,1,3,3,1,1,2,1,1,0,1,1,1
17,Torino-Napoli,2,0,0,2,0,8,0,2,2,0,2,4,1.4285714285714286,1.4285714285714286,2.142857142857143,1.4285714285714286,1.1338934190276817,0.9759000729485332,1.6761634196950517,1.511857892036909,3,1,0,2,2,2,2,1,1,3,3,2,4,0,2,4,0,1,1,1,0,0
18,Inter-Juventus,2,2,2,2,2,1,2,1,2,2,2,2,2.0,0.5714285714285714,1.8571428571428568,0.8571428571428571,1.1547005383792517,0.7867957924694432,1.214985792587912,1.0690449676496974,2,1,2,1,3,1,0,0,0,1,4,0,2,2,2,3,0,1,1,0,1,2
19,Brescia-Sassuolo,0,0,2,0,0,15,2,0,2,0,0,13,1.0,1.5714285714285714,1.8571428571428568,1.7142857142857142,1.0,1.397276262011544,1.3451854182690983,1.7043362064926932,0,3,1,1,1,1,4,0,2,2,4,2,3,0,1,1,4,0,1,4,0,2
20,Lazio-Atalanta,0,2,0,2,1,6,2,1,2,2,2,3,2.0,1.125,2.625,1.625,1.3093073414159542,1.1259916264596033,0.7440238091428449,1.0606601717798212,1,2,0,4,2,2,0,1,0,2,2,2,2,4,3,1,2,0,1,1,3,3
21,Napoli-Verona,2,2,0,2,1,4,0,0,1,1,2,11,2.125,1.25,0.75,0.875,1.5526475085202969,1.48804761828569,0.7071067811865476,0.8345229603962802,2,4,0,2,0,0,1,1,1,0,0,1,0,1,2,1,2,0,1,0,2,0
22,Juventus-Bologna,1,2,2,2,2,1,2,0,1,0,1,12,1.875,0.875,1.25,1.375,1.1259916264596033,0.9910312089651148,1.2817398889233114,1.0606601717798212,0,2,2,2,2,0,1,1,0,1,4,1,0,0,2,3,2,0,1,2,2,1
23,Sassuolo-Inter,0,2,0,0,2,10,2,2,2,2,0,2,2.0,2.0,2.25,0.875,1.3093073414159542,1.772810520855837,1.2817398889233114,1.1259916264596033,2,3,0,1,2,4,0,1,4,0,1,2,1,3,1,0,0,0,1,2,3,4
24,Cagliari-Spal,2,2,2,1,1,7,2,0,0,0,2,17,1.5,0.875,0.75,1.875,1.0690449676496976,0.6408699444616557,0.8864052604279183,1.1259916264596033,3,3,1,1,1,1,1,0,1,1,2,0,1,0,1,1,3,3,2,0,2,0
25,Sampdoria-Roma,0,2,0,0,0,20,2,2,0,2,1,5,0.5,2.0,1.5,1.25,0.5345224838248488,1.4142135623730951,1.4142135623730951,1.035098339013531,0,1,1,1,0,2,0,2,3,2,4,2,0,1,1,2,1,2,0,1,0,0
26,Udinese-Torino,0,0,1,2,0,15,0,0,2,0,1,9,0.5,0.75,1.25,1.375,0.5345224838248488,1.035098339013531,1.164964745021435,0.9161253813129044,0,0,0,1,0,1,1,0,0,1,1,0,2,2,0,2,1,1,3,0,1,0
27,Parma-Genoa,0,0,2,2,0,13,0,0,1,0,0,19,1.625,1.375,1.125,2.5,1.8468119248354136,0.9161253813129044,0.9910312089651148,1.6035674514745464,1,0,1,3,0,3,2,0,2,1,1,1,0,0,1,2,3,0,4,2,5,1
28,Milan-Lecce,2,0,0,0,2,14,2,0,2,0,0,18,1.0,1.375,1.125,2.125,0.7559289460184544,1.0606601717798212,1.1259916264596033,1.3562026818605375,1,0,1,1,2,0,2,2,3,1,2,1,3,0,1,1,4,1,1,3,2,2
29,Brescia-Fiorentina,0,2,0,0,0,16,1,1,2,2,2,8,0.875,1.375,1.5,1.25,0.9910312089651148,1.407885953173359,1.1952286093343936,1.3887301496588271,3,1,1,1,0,4,0,2,2,2,0,2,2,3,1,0,2,1,1,0,0,0
30,Verona-Sassuolo,0,1,1,2,0,15,2,0,0,2,0,13,0.6666666666666666,0.8888888888888888,1.8888888888888888,1.7777777777777777,0.7071067811865476,0.7817359599705717,1.2692955176439846,1.7873008824606014,1,0,1,2,0,2,0,1,0,2,3,0,1,2,3,0,1,4,0,4,0,1
31,Lecce-Juventus,0,2,0,0,1,17,2,2,2,2,2,1,1.1111111111111112,2.0,1.7777777777777777,0.8888888888888888,1.0540925533894596,1.3228756555322954,1.0929064207170005,0.927960727138337,1,3,0,1,2,4,1,1,3,2,2,2,2,2,2,1,1,0,1,1,1,1
32,Inter-Parma,2,2,2,0,2,2,0,2,2,0,2,8,2.2222222222222223,1.0,1.6666666666666667,1.4444444444444444,1.2018504251546631,1.118033988749895,1.7320508075688772,0.881917103688197,2,1,3,1,4,0,0,1,2,3,0,1,3,0,5,2,0,2,1,1,2,2
33,Genoa-Brescia,0,1,0,0,0,19,2,0,0,0,1,16,1.3333333333333333,2.333333333333333,0.8888888888888888,1.5555555555555556,1.118033988749895,1.5811388300841898,0.927960727138337,1.4240006242195886,1,0,0,1,1,3,0,4,2,5,1,1,1,0,0,0,2,2,2,0,3,1
34,Bologna-Sampdoria,0,1,0,1,0,14,2,0,0,0,1,20,1.3333333333333333,1.3333333333333333,0.5555555555555556,2.0,1.224744871391589,1.0,0.5270462766947299,1.3228756555322954,1,0,0,2,1,2,0,1,2,2,1,1,1,0,0,0,2,3,2,0,2,1
35,Atalanta-Udinese,1,2,2,2,1,3,0,1,2,0,2,11,3.111111111111111,1.5555555555555556,0.5555555555555556,1.4444444444444444,1.6158932858054431,1.0137937550497034,0.5270462766947299,2.297341458681704,2,2,4,3,3,2,0,1,1,3,0,0,1,0,1,1,0,0,1,0,7,1
36,Spal-Napoli,0,0,0,2,0,18,2,0,2,1,2,4,0.7777777777777778,1.7777777777777777,2.0,1.2222222222222223,0.8333333333333335,1.092906420717,1.5,1.3944333775567928,0,1,0,1,0,3,3,2,0,2,4,0,2,0,2,1,1,1,0,0,1,1
37,Torino-Cagliari,0,2,0,1,0,10,2,2,1,1,2,5,1.2222222222222223,1.3333333333333333,1.4444444444444444,0.8888888888888888,1.0929064207170005,0.8660254037844386,1.0137937550497031,0.6009252125773316,0,2,2,0,0,1,1,3,0,1,3,1,1,1,2,1,0,1,1,0,1,1
38,Roma-Milan,2,0,2,1,1,6,0,0,0,2,1,12,1.5555555555555556,1.2222222222222223,1.0,1.4444444444444444,1.3333333333333337,0.9718253158075502,0.7071067811865476,1.0137937550497034,2,0,1,1,0,1,2,0,1,0,0,1,1,2,2,2,2,3,1,2,2,1
39,Fiorentina-Lazio,1,2,2,2,1,9,2,0,2,1,1,7,1.4444444444444444,1.3333333333333333,2.0,1.1111111111111112,1.1303883305208782,1.3228756555322954,1.224744871391589,1.0540925533894598,2,2,3,1,0,2,1,1,0,0,2,0,4,2,3,0,1,0,2,3,1,2
40,Parma-Verona,2,2,0,2,1,8,1,1,2,0,0,15,1.5,1.4,0.7,0.8,1.7159383568311668,0.8432740427115679,0.6749485577105528,0.7888106377466155,1,3,0,5,2,0,2,1,1,2,0,1,2,0,0,0,1,0,2,1,0,1
41,Brescia-Inter,0,0,0,1,0,18,2,2,0,2,1,2,0.9,1.6,2.2,1.0,0.8755950357709131,1.349897115421106,1.1352924243950937,1.0540925533894598,1,1,0,0,1,2,2,2,0,3,1,3,1,4,2,0,1,2,3,2,1,2
42,Napoli-Atalanta,0,2,1,2,1,4,2,2,2,1,2,3,2.0,1.3,3.0,1.6,1.4142135623730951,1.3374935098492586,1.563471919941143,0.966091783079296,0,2,0,2,1,1,1,0,0,1,2,4,3,3,7,0,1,1,3,1,2,2
43,Cagliari-Bologna,2,1,1,2,1,7,1,0,1,0,2,11,1.6,1.0,1.4,1.5,1.07496769977314,0.6666666666666666,1.1737877907772671,1.0801234497346437,1,1,1,2,1,0,1,1,0,1,0,0,2,1,2,0,1,2,2,1,3,2
44,Juventus-Genoa,2,2,2,2,1,1,1,0,0,0,2,17,1.8,0.9,1.3,2.3,1.0327955589886444,0.8755950357709131,1.0593499054713802,1.4944341180973262,2,2,2,2,1,1,0,1,1,1,0,0,1,1,3,0,4,2,5,1,2,1
45,Lazio-Torino,0,2,1,1,2,6,2,0,1,0,1,12,2.2,1.0,1.1,1.6,1.3165611772087666,1.0540925533894598,1.100504934614612,1.1737877907772674,0,4,2,3,2,1,0,2,3,1,2,2,0,0,1,1,3,0,1,1,4,0
46,Sampdoria-Lecce,0,0,0,1,0,20,2,0,0,1,1,16,0.6,1.9,1.1,1.9,0.5163977794943223,1.286683937707919,0.9944289260117531,1.286683937707919,1,1,0,0,1,2,3,2,0,2,3,0,1,2,1,1,1,3,2,1,1,1
47,Sassuolo-Fiorentina,0,0,2,0,2,9,2,2,2,1,0,10,1.8,1.8,1.5,1.3,1.2292725943057183,1.6865480854231356,1.0801234497346437,1.2516655570345725,0,1,2,3,1,1,4,0,4,0,2,3,1,0,1,1,1,0,0,2,1,2
48,Udinese-Roma,1,2,0,2,0,14,0,2,1,1,2,5,0.5,1.7,1.8,1.1,0.5270462766947299,2.311805451253293,1.4757295747452437,0.9944289260117531,0,1,0,1,1,0,0,1,0,7,0,1,1,0,2,2,0,1,0,1,0,4
49,Milan-Spal,0,0,2,1,0,13,0,0,2,0,1,19,1.0,1.3,0.7,1.7,0.6666666666666666,1.0593499054713802,0.8232726023485646,1.0593499054713804,1,1,2,2,1,2,3,1,2,2,1,0,1,0,1,3,2,0,2,1,1,0
50,Roma-Napoli,2,1,1,2,2,4,2,1,2,1,1,6,1.818181818181818,1.0909090909090908,1.9090909090909087,1.3636363636363635,1.4012980994907414,0.9438798074485388,1.3751033019046572,1.2862913567871994,1,1,0,2,4,0,1,0,1,0,2,0,2,1,2,1,0,0,1,2,2,1
51,Bologna-Inter,0,1,0,2,0,12,2,0,2,1,2,2,1.3636363636363635,1.5454545454545454,2.1818181818181817,1.0,1.1200649331826502,1.0357254813546264,1.0787197799411874,1.0,0,2,1,2,2,1,2,2,1,3,3,1,4,2,2,1,2,3,2,1,1,2
52,Torino-Juventus,0,1,0,1,0,14,2,2,2,1,2,1,1.0,1.5454545454545454,1.7272727272727273,0.8181818181818182,1.095445115010332,1.1281521496355325,1.0090499582190258,0.8738628975053029,2,0,0,1,0,3,0,1,1,4,2,2,2,1,2,0,1,1,1,1,0,1
53,Atalanta-Cagliari,2,2,1,2,1,3,1,1,2,1,2,7,2.727272727272727,1.6363636363636365,1.6363636363636365,0.9090909090909092,1.7372915179041826,0.9244162777371754,1.026910636104941,0.7006490497453707,4,3,3,7,2,1,1,3,1,2,1,1,2,1,3,1,1,0,1,2,0,2
54,Genoa-Udinese,0,0,0,2,0,17,2,0,2,0,0,15,1.2727272727272727,2.363636363636364,0.7272727272727273,1.6363636363636365,1.009049958219026,1.4333685689819815,0.9045340337332908,2.2033033051637383,0,1,1,3,1,4,2,5,1,2,1,0,1,1,0,0,1,0,7,4,1,3
55,Verona-Brescia,1,2,0,0,2,13,0,0,1,0,0,18,0.8181818181818182,0.8181818181818182,0.9090909090909092,1.6363636363636365,0.7507571935295483,0.7507571935295483,0.8312094145936334,1.2862913567871994,1,2,0,0,1,1,0,2,1,0,1,0,0,1,1,2,2,0,3,2,2,1
56,Lecce-Sassuolo,0,0,1,1,1,16,0,2,0,2,0,11,1.181818181818182,1.9090909090909087,1.818181818181818,1.818181818181818,0.9816498172140428,1.2210278829367864,1.1677484162422844,1.60113596038449,0,1,2,1,1,1,3,2,1,1,1,2,3,1,1,4,0,4,0,2,2,2
57,Fiorentina-Parma,2,2,1,0,2,8,2,0,2,1,0,9,1.4545454545454546,1.2727272727272727,1.4545454545454546,1.3636363636363635,1.0357254813546264,1.1908743922772955,1.6348477827391985,0.8090398349558905,3,1,0,1,2,1,0,0,2,1,3,0,5,2,0,2,1,1,2,1,1,1
58,Milan-Lazio,0,2,1,0,2,10,2,1,1,2,2,5,1.0,1.3636363636363635,2.1818181818181817,1.0,0.6324555320336759,1.0269106361049412,1.2504544628399563,1.0,1,2,2,1,1,3,1,2,2,0,4,2,3,2,4,0,2,3,1,0,1,2
59,Spal-Sampdoria,0,2,0,1,0,19,0,0,1,0,1,20,0.6363636363636364,1.6363636363636365,0.6363636363636364,1.7272727272727273,0.8090398349558905,1.026910636104941,0.504524979109513,1.348399724926484,0,1,0,1,0,2,0,2,1,1,1,0,0,1,1,3,2,0,2,1,0,1
60,Sassuolo-Bologna,2,0,2,0,1,11,1,0,2,0,0,14,1.9166666666666667,1.75,1.3333333333333333,1.6666666666666667,1.164500152881315,1.5447859516333116,1.0730867399773196,1.0730867399773196,2,3,1,1,2,0,4,0,2,2,2,1,2,2,1,2,2,1,3,2,3,1
61,Brescia-Torino,0,1,0,0,0,19,1,0,1,0,0,15,0.8333333333333334,1.8333333333333333,1.25,1.4166666666666667,0.8348471099367218,1.4034589305344742,1.3568010505999362,1.164500152881315,0,0,1,1,1,2,0,3,2,2,0,0,1,0,0,0,1,1,4,1,0,4
62,Inter-Verona,0,2,1,2,2,2,2,0,0,2,2,9,2.1666666666666665,1.0,0.8333333333333334,0.9166666666666666,1.0298573010888743,0.9534625892455924,0.7177405625652734,0.7929614610987591,1,4,2,2,2,2,3,2,1,1,2,0,0,1,2,0,2,1,0,1,2,1
63,Napoli-Genoa,1,2,1,1,0,7,0,0,2,0,0,17,1.75,1.25,1.1666666666666667,2.1666666666666665,1.4222261679238195,1.288057028664069,1.0298573010888743,1.5275252316519463,0,2,1,2,1,0,0,1,2,2,1,1,3,1,1,2,5,1,2,3,0,0
64,Cagliari-Fiorentina,1,2,1,2,2,6,2,1,0,2,1,8,1.9166666666666667,1.0,1.5,1.5833333333333333,1.378954368902449,0.7385489458759964,1.0,1.5642792899510296,1,2,1,3,2,1,0,1,2,0,1,0,1,2,1,0,0,2,1,1,5,2
65,Lazio-Lecce,1,1,2,2,2,4,0,1,1,1,1,16,2.333333333333333,1.0833333333333333,1.25,2.083333333333333,1.3026778945578592,0.996204919895622,0.9653072991634228,1.3113721705515065,2,3,2,4,2,2,3,1,0,1,1,2,1,1,2,3,2,1,1,2,4,2
66,Sampdoria-Atalanta,0,1,0,1,2,18,2,1,2,1,0,5,0.5833333333333334,1.5833333333333333,2.5,1.5,0.5149286505444373,1.378954368902449,1.834021909257456,1.0,0,0,1,1,1,2,0,2,1,0,3,3,7,2,0,1,3,1,2,2,0,0
67,Udinese-Spal,0,2,0,0,2,13,2,0,1,0,0,20,0.6666666666666666,1.5,0.5833333333333334,1.5,0.8876253645985945,2.15322168769582,0.792961461098759,1.087114613009218,0,1,1,0,3,1,0,7,4,1,1,0,1,0,0,0,2,1,1,1,0,0
68,Parma-Roma,0,2,1,0,1,10,1,1,2,2,2,3,1.5,1.25,1.6666666666666667,1.1666666666666667,1.5666989036012806,0.8660254037844386,1.4354811251305468,0.9374368665610922,0,5,2,0,1,1,1,2,1,1,1,0,2,4,2,1,0,1,0,1,2,0
69,Juventus-Milan,2,2,1,2,2,1,2,1,0,2,0,12,1.6666666666666667,0.75,0.9166666666666666,1.3333333333333333,0.9847319278346618,0.8660254037844386,0.6685579234215215,0.9847319278346618,2,2,1,2,1,1,1,1,1,0,2,2,1,1,1,1,2,2,0,2,1,0
70,Atalanta-Juventus,1,2,1,0,1,5,2,1,2,2,2,1,2.3846153846153846,1.6153846153846154,1.7692307692307692,0.7692307692307693,1.8045526471705544,1.0439078454267836,1.0127393670836669,0.8320502943378436,3,7,2,0,0,3,1,2,2,0,2,1,2,1,1,1,1,1,0,0,1,3
71,Milan-Napoli,1,0,2,0,0,14,2,1,1,0,1,7,0.9230769230769232,1.3076923076923077,1.6923076923076923,1.2307692307692308,0.6405126152203486,0.9473309334313418,1.3774744634423888,1.2351684199496948,2,1,1,1,0,2,2,0,2,1,2,1,2,1,0,0,1,2,2,0,1,1
72,Torino-Inter,0,1,0,0,2,12,2,1,2,2,2,2,1.1538461538461535,1.5384615384615383,2.230769230769231,0.9230769230769232,1.3445044840729643,1.1982893790305562,1.0127393670836666,0.9540735874430284,0,1,0,0,4,1,1,4,1,0,4,2,2,2,2,3,2,1,1,1,0,3
73,Bologna-Parma,0,2,0,0,0,15,2,1,0,1,2,8,1.3846153846153846,1.6923076923076923,1.5384615384615383,1.3076923076923077,1.0439078454267836,1.031553471276484,1.5063966175050876,0.8548504142651102,1,2,2,1,1,2,1,3,2,3,5,2,0,1,2,1,2,1,1,0,2,2
74,Verona-Fiorentina,0,0,2,2,0,11,1,0,2,1,0,10,0.8461538461538461,0.8461538461538461,1.3846153846153846,1.5384615384615383,0.6887372317211945,0.8006407690254357,1.0439078454267836,1.5063966175050878,0,0,1,2,1,2,1,0,1,2,0,1,2,1,2,0,2,1,1,5,1,0
75,Roma-Brescia,1,2,2,2,0,6,1,0,0,0,0,20,1.7692307692307692,1.0769230769230769,0.7692307692307693,1.9230769230769231,1.4232501627054277,0.9540735874430284,0.8320502943378436,1.3821202589704018,0,2,4,2,0,0,1,0,1,2,0,1,1,1,0,0,3,2,2,4,3,0
76,Sassuolo-Lazio,0,2,0,1,2,9,1,2,2,2,2,3,1.8461538461538465,1.7692307692307692,2.3076923076923075,1.0769230769230769,1.1435437497937313,1.4806443503784734,1.2506408613597129,0.9540735874430284,3,1,1,2,3,4,0,2,2,1,3,2,4,2,4,3,1,0,1,2,1,2
77,Sampdoria-Udinese,1,0,1,2,1,18,2,0,0,2,1,13,0.6923076923076923,1.5384615384615383,0.6923076923076923,1.5384615384615383,0.6304251719561152,1.3301243435223526,0.8548504142651102,2.066211695163584,0,1,1,1,0,0,2,1,0,0,1,1,0,3,0,0,7,4,1,0,2,1
78,Lecce-Cagliari,1,1,1,1,0,16,2,1,2,2,2,4,1.3076923076923077,2.076923076923077,1.9230769230769231,1.0769230769230769,0.9473309334313418,1.255755978254962,1.3204505835470497,0.7595545253127499,2,1,1,2,2,2,1,1,2,4,2,1,3,2,5,0,1,2,0,2,2,2
79,Spal-Genoa,0,1,0,0,1,19,0,2,0,0,1,17,0.6153846153846154,1.4615384615384617,1.1538461538461535,2.076923076923077,0.7679476477883045,1.0500305245868342,0.9870962335856492,1.497861723788195,0,1,0,0,0,2,1,1,1,0,1,3,1,1,0,5,1,2,3,0,1,1
80,Brescia-Atalanta,0,0,0,0,0,20,2,1,0,1,0,6,0.7142857142857143,2.0,2.4285714285714284,1.5,0.825420305855557,1.3587324409735149,1.741541567969893,1.0919284281983377,1,1,1,0,0,3,2,2,4,3,7,2,0,0,1,1,2,2,0,3,0,3
81,Genoa-Torino,2,0,0,1,1,18,1,0,0,2,0,12,1.0714285714285714,2.0,1.1428571428571428,1.4285714285714286,0.9972489631508747,1.4675987714106855,1.292412345317728,1.2224996910042532,3,1,1,0,1,1,2,3,0,1,1,0,0,4,0,1,4,1,0,3,0,1
82,Fiorentina-Lecce,0,2,1,0,0,11,1,1,1,0,1,17,1.2857142857142858,1.5,1.2857142857142858,1.9285714285714288,1.0690449676496974,1.454436184706849,0.9138735334633752,1.3280573269766118,1,2,1,2,0,2,1,1,5,1,1,1,2,2,2,1,1,2,4,2,0,1
83,Juventus-Sassuolo,1,2,2,2,2,1,2,0,1,2,0,10,1.7857142857142858,0.8571428571428571,1.8571428571428568,1.7857142857142858,0.9749612559222292,0.8644378215075663,1.0994504121565505,1.4238934396479703,1,2,1,1,3,1,1,0,0,1,1,1,2,3,1,0,2,2,1,2,2,2
84,Inter-Spal,1,2,2,2,2,2,1,0,0,1,1,19,2.2142857142857144,0.9285714285714286,0.6428571428571429,1.5,0.9749612559222292,0.91687476825319,0.7449463436684921,1.0190493307301365,2,2,2,2,3,2,1,1,1,0,1,0,0,0,1,1,1,1,0,1,2,1
85,Lazio-Udinese,2,2,2,2,2,3,0,0,2,1,0,14,2.357142857142857,1.0,0.6428571428571429,1.6428571428571428,1.2157392722216296,0.9607689228305228,0.8418973861410954,2.0232168923292906,2,4,2,4,2,1,0,1,2,1,1,0,3,0,1,7,4,1,0,2,3,0
86,Parma-Milan,1,0,1,2,1,8,0,2,0,0,1,13,1.4285714285714286,1.2857142857142858,0.9285714285714286,1.2142857142857142,1.5045717874984443,0.8254203058555569,0.6157279262148818,0.9749612559222292,2,0,1,2,2,2,1,1,0,2,1,1,1,0,1,2,0,2,1,1,0,1
87,Napoli-Bologna,1,1,0,1,1,7,2,0,0,0,1,15,1.6428571428571428,1.2857142857142858,1.4285714285714286,1.6428571428571428,1.3363062095621216,1.2043875831929898,1.0163498575623615,1.0082080720186268,1,2,1,0,1,1,2,2,0,1,2,2,1,1,2,1,3,2,3,2,1,2
88,Verona-Roma,0,2,2,0,2,9,2,2,2,0,2,5,0.8571428571428571,1.0,1.8571428571428568,1.0714285714285714,0.6629935441317958,0.9607689228305228,1.4064216928154862,0.91687476825319,0,1,2,1,1,1,0,1,2,0,2,4,2,0,3,1,0,1,2,0,1,3
89,Cagliari-Sampdoria,1,2,2,2,1,4,0,1,2,1,2,16,2.071428571428572,1.2142857142857142,0.8571428571428571,1.7142857142857142,1.384768001357057,0.8925823753039809,0.8644378215075663,1.4373357526806552,1,3,2,5,2,1,2,0,2,2,1,1,1,0,2,2,1,0,0,1,4,3
90,Inter-Roma,2,2,2,2,2,1,2,2,0,2,2,5,2.066666666666667,0.8666666666666667,1.7333333333333334,1.0,1.0997835284835875,0.9154754164341268,1.4375905768565218,0.9258200997725514,2,2,2,3,2,1,1,1,0,1,4,2,0,3,3,0,1,2,0,1,0,0
91,Atalanta-Verona,1,0,1,0,2,6,2,2,0,2,0,9,2.466666666666667,1.5333333333333334,0.9333333333333332,1.1333333333333333,1.6846647257229663,1.0600988273786194,0.7037315505489968,1.0600988273786194,2,0,0,1,3,2,2,0,3,0,1,2,1,1,1,0,1,2,0,3,3,2
92,Udinese-Napoli,0,2,1,0,0,16,1,0,1,1,0,7,0.6666666666666666,1.6,1.6,1.2666666666666666,0.816496580927726,1.9566735620873064,1.2983506020002016,1.162919151265879,0,3,0,1,0,4,1,0,2,3,2,1,0,1,1,2,2,0,1,2,1,1
