,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
41,Juventus-Torino,1.0,2.0,1.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,18.0,1.9,0.9,1.7,2.4,0.9944289260117531,0.5676462121975467,1.0593499054713802,1.4298407059684812,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,2.0,2.0,3.0,4.0,0.0,4.0,2.0,2 , 1
42,Inter-Bologna,2.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,10.0,2.6,1.4,1.5,1.7,1.429840705968481,0.966091783079296,1.4337208778404378,1.1595018087284057,2.0,2.0,1.0,4.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,3 , 1
43,Verona-Cagliari,1.0,2.0,1.0,0.0,2.0,7.0,2.0,0.0,2.0,0.0,1.0,12.0,1.3,0.8,1.7,2.0,1.1595018087284057,0.7888106377466155,1.2516655570345725,1.3333333333333333,1.0,3.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,4.0,2.0,2.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,1 , 1
44,Parma-Benevento,1.0,1.0,1.0,0.0,2.0,16.0,0.0,0.0,0.0,2.0,1.0,15.0,1.0,1.7,1.2,2.1,0.9428090415820634,1.4181364924121764,0.9189365834726816,1.9119507199599983,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,0.0,1.0,0 , 0
45,Roma-Sassuolo,1.0,2.0,2.0,2.0,0.0,6.0,1.0,2.0,1.0,2.0,0.0,4.0,1.9,1.5,2.0,1.2,1.66332999331662,1.509230856356236,1.699673171197595,1.3165611772087666,3.0,2.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,4.0,3.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0 , 0
46,Crotone-Napoli,0.0,0.0,1.0,0.0,0.0,20.0,2.0,0.0,2.0,0.0,2.0,2.0,0.6,2.4,2.5,0.9,0.6992058987801011,1.5055453054181622,1.90029237516523,1.100504934614612,2.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,3.0,0.0,0 , 4
47,Sampdoria-Milan,2.0,1.0,0.0,0.0,1.0,11.0,1.0,2.0,1.0,2.0,2.0,1.0,1.5,1.7,2.3,0.9,1.0801234497346437,0.9486832980505138,0.4830458915396479,0.9944289260117534,3.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,0.0,1 , 2
48,Fiorentina-Genoa,2.0,0.0,1.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,19.0,1.1,1.6,0.9,1.9,1.1972189997378648,1.1737877907772674,1.1972189997378648,1.66332999331662,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0,1 , 1
49,Udinese-Atalanta,0.0,0.0,1.0,2.0,2.0,13.0,0.0,2.0,1.0,1.0,0.0,8.0,1.1,1.3,1.9,1.7,1.1972189997378648,0.9486832980505138,1.7919573407620817,1.1595018087284057,2.0,1.0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1 , 1
50,Sassuolo-Benevento,2.0,1.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,1.0,1.0,14.0,1.9090909090909087,1.0909090909090908,1.0909090909090908,2.0,1.6403990645294488,1.300349603340998,0.9438798074485388,1.8439088914585773,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,1 , 0
