,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
331,Inter-Parma,2.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,1.0,16.0,2.6,1.6,1.2,2.2,1.816590212458495,1.140175425099138,0.8366600265340756,1.483239697419133,5.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,0.0,3.0,2.0,2 , 2
332,Bologna-Cagliari,0.0,2.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,2.0,2.0,11.0,1.6,2.0,2.0,2.4,1.816590212458495,1.224744871391589,1.58113883008419,1.51657508881031,0.0,4.0,0.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,2.0,3.0,4.0,1.0,2.0,5.0,2.0,2.0,3 , 2
333,Udinese-Milan,0.0,0.0,0.0,2.0,0.0,19.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.8,2.4,0.8,1.414213562373095,0.8366600265340756,0.5477225575051661,1.30384048104053,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,1 , 2
334,Spezia-Juventus,2.0,0.0,0.0,1.0,1.0,14.0,2.0,1.0,2.0,1.0,1.0,5.0,1.4,2.2,1.8,1.0,0.8944271909999159,1.483239697419133,0.8366600265340756,0.7071067811865476,2.0,1.0,0.0,2.0,2.0,0.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1 , 4
335,Torino-Lazio,0.0,0.0,2.0,0.0,1.0,15.0,0.0,2.0,1.0,0.0,2.0,12.0,1.8,2.4,1.2,1.8,1.095445115010332,1.341640786499874,0.8366600265340756,1.643167672515498,0.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,2.0,4.0,0.0,1.0,3.0,1.0,3 , 4
336,Napoli-Sassuolo,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,0.8,3.2,1.8,2.0,0.8366600265340756,1.30384048104053,1.095445115010332,2.0,6.0,1.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,0 , 2
337,Roma-Fiorentina,0.0,1.0,2.0,2.0,1.0,9.0,2.0,0.0,0.0,1.0,2.0,10.0,2.2,2.0,2.0,2.0,1.923538406167135,1.224744871391589,1.0,1.414213562373095,0.0,2.0,1.0,5.0,3.0,3.0,2.0,0.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,0.0,4.0,2.0,2.0,2.0,2 , 0
338,Sampdoria-Genoa,0.0,0.0,2.0,2.0,2.0,7.0,2.0,0.0,0.0,1.0,0.0,17.0,2.0,1.6,1.0,2.2,1.224744871391589,1.341640786499874,1.732050807568877,2.280350850198276,0.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,0.0,2.0,1 , 1
339,Verona-Benevento,2.0,2.0,0.0,1.0,1.0,8.0,0.0,2.0,2.0,0.0,0.0,13.0,1.0,0.4,1.8,2.8,1.224744871391589,0.5477225575051662,0.8366600265340756,2.16794833886788,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,5.0,2.0,0.0,5.0,2.0,3 , 1
340,Sassuolo-Udinese,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,19.0,3.0,1.5,1.0,1.833333333333333,1.264911064067352,1.224744871391589,1.264911064067352,0.752772652709081,4.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,0 , 0
